,valores reais,valores preditos,porcentagem de acerto %
6856,2294,2591.6853,88.5138329711443
3032,14560,13727.764,93.93756806995404
913,2309,2418.6697,95.46570254119591
5853,1647,2135.8225,77.11314926541971
3725,2650,2743.976,96.57518609211976
2526,2903,2990.789,97.06468558412418
1911,2288,2327.1353,98.31830772016544
565,1092,2096.6814,52.08230500976536
3392,14490,14031.883,96.73516951629688
609,4230,3873.442,90.79479916886943
5329,1544,2135.8225,72.29065116321071
8865,872,2096.6814,41.58953293820091
9795,2143,2231.7058,96.02520143436209
6983,993,2096.6814,47.36055757756136
7341,2527,2990.789,84.49275248745496
740,1521,2157.9949,70.48209516144487
2861,2422,2583.4956,93.7489498675014
9883,4454,4151.0396,92.7015764241097
6426,1814,2128.934,85.20695945030077
4819,3962,3683.022,92.42529560195518
3708,1182,2096.6814,56.37480267540537
917,2807,3199.8313,87.72337469878516
3085,2305,2231.7058,96.71577727195304
7585,2300,2341.0789,98.24530227627132
3109,4054,4572.2925,88.66449417479927
6642,11050,10207.284,91.74397611081011
5537,2192,2202.6702,99.5155803996326
19,21680,21934.451,98.83994739653544
6461,2908,3277.9143,88.7149488352631
2139,16850,16036.903,94.92983986093111
8308,3581,3507.118,97.89336766641223
10124,2837,2990.789,94.85791009375139
8675,3481,3337.7546,95.70833159308788
10212,2330,2583.4956,90.18788323339317
9074,3805,3612.4106,94.66867489828968
8558,1678,2128.934,78.81878608467733
8503,930,2096.6814,44.355809211613355
8914,1908,2418.6697,78.88634060138665
4668,1798,2135.8225,84.18302512399796
1628,1575,2096.6814,75.11870914870005
3657,5483,5622.0605,97.52651993489654
4745,3487,3557.17,98.02736660277355
4352,1164,2096.6814,55.516303142277366
1039,2555,2418.6697,94.36341706680142
2924,1021,2096.6814,48.696001295760475
4020,4182,4572.2925,91.463965130491
10478,3591,3686.1414,97.41894441377534
3653,2491,2591.6853,96.11506448610307
2279,2048,2354.847,86.96955964639504
7268,3965,3701.3308,92.87636790794802
5919,1216,2096.6814,57.996412904647144
2544,1734,2231.7058,77.6984131064787
4866,11970,10911.093,90.2951313076509
3981,2031,2591.6853,78.36599597401658
4939,3216,3110.628,96.61251449243284
2087,5990,6028.348,99.36386977639906
5650,5599,5277.449,93.90707957724014
5016,8992,8405.84,93.02675084053821
2835,16610,15372.334,91.94874365283106
1781,15410,14821.389,96.0286357698591
1074,12470,11397.067,90.58588862249293
3011,6252,6077.0146,97.12053760463633
3163,1487,2096.6814,70.92160032007426
7480,1341,2128.934,62.98926825956633
6973,8121,8273.963,98.15127415185391
8181,1294,2096.6814,61.71657754820181
6582,1261,2128.934,59.231519220964316
7213,2160,2330.5632,92.68145871139359
1473,2789,2662.446,95.24670348458315
2060,1780,2157.9949,82.4839772435055
5068,9159,8686.835,94.56459065717597
2442,5323,5234.728,98.31372380388896
8106,8001,7414.0674,92.08352734225016
5658,2046,2591.6853,78.94476994723681
7194,8702,8127.3936,92.93000343288294
2226,6575,6094.6953,92.11929944200963
639,3920,3888.0154,99.17735358511995
1429,3384,3232.8252,95.32375567640653
765,2040,2291.1094,89.03983468707163
7578,4469,4136.828,91.97037283244636
1593,5192,4739.7266,90.45781583523575
916,2621,2692.6125,97.34040648145637
6273,1150,2096.6814,54.84858128317781
9715,3227,3199.8313,99.15093332633427
5692,1745,2157.9949,80.86210128647029
145,1163,2096.6814,55.46860872377025
4785,911,2096.6814,43.449615259978245
1995,4569,4357.789,95.15325467867342
6100,1628,2135.8225,76.22356223685689
7332,9794,9486.812,96.76194181992992
7135,13530,12667.244,93.18908004142699
6873,3925,4118.871,95.29310120813975
216,760,2096.6814,36.24775806540447
9636,10930,10038.03,91.11409606999474
8003,20830,17995.602,84.24949325724992
9103,2244,2327.1353,96.42757103323916
1583,13130,12557.319,95.43946722431787
5248,8770,8321.775,94.61383432818971
32,4007,3896.2446,97.15738148800885
7841,8887,8404.402,94.25779922817608
700,2118,2335.2737,90.69600778063916
6692,3213,3552.3447,90.44730304395672
10443,3673,3552.3447,96.60350324293401
6442,1535,2096.6814,73.2109324084156
1851,1232,2096.6814,58.75952360076092
6659,2396,2406.0344,99.5829476200029
2429,20290,17480.727,83.92930964593594
5420,1355,2096.6814,64.62593707713559
843,3366,3417.4348,98.49492917214995
8224,9931,9324.617,93.49696829042078
5665,1515,2096.6814,72.25704403827338
10146,1394,2096.6814,66.48601939891292
6571,2980,2894.9568,97.06236675900296
7775,8352,8273.963,99.05683515376384
5067,2017,2301.5186,87.63779009697656
31,2266,2335.2737,97.03359472659507
1167,5924,5407.25,90.44338619446116
5400,20010,17883.549,88.109456393069
6099,5211,5041.2725,96.63324011194317
8481,11720,11307.81,96.35481631411919
6527,1637,2128.934,76.8929397023938
762,1795,2135.8225,84.04256401422488
249,1517,2096.6814,72.3524328752876
6068,15500,14789.073,95.19289176427566
5793,4343,4009.5796,91.68440474405838
2071,11300,10493.811,92.31747657799025
9456,9497,9798.619,96.92181993915358
1494,1251,2128.934,58.76180059113906
1627,11140,10274.473,91.57594386877368
9072,2272,2335.2737,97.2905239271068
10029,2360,2457.6187,96.027917014275
8740,2751,2650.8271,96.2210719163056
2793,4453,4172.7104,93.2827941408269
9210,1363,2096.6814,65.00749242519248
5827,1896,2135.8225,88.77142137658517
5825,3706,3546.7969,95.51135487565804
3735,964,2096.6814,45.97741944085514
3194,16810,13274.713,73.36825934765243
2097,16570,13120.351,73.70764301252848
9742,3195,3036.524,94.78100360503576
2900,8156,7444.5596,90.44348529999557
9627,2848,2770.7961,97.21365797232417
541,2372,2327.1353,98.072104059339
122,2145,2327.1353,92.17341348765508
4429,4206,4572.2925,91.9888659346832
6906,7804,7491.3447,95.82644658803513
8941,3217,3232.8252,99.51048403930265
8549,2524,2682.2395,94.1004708252973
5482,8173,7771.4067,94.83242512915278
8241,2849,2965.7632,96.06296334651161
9088,9249,8507.633,91.28585819535215
10329,1748,2128.934,82.1068164934541
9395,1170,2096.6814,55.80246965332003
9665,5372,4828.368,88.74087854394064
6748,6768,6267.762,92.01887728912916
5361,5268,4852.174,91.43010562678697
2620,880,2096.6814,41.9710882862578
804,3670,3640.5493,99.19103736732724
259,5660,5838.02,96.95067815910738
930,1656,2128.934,77.78540509906178
1855,1650,2377.5168,69.40013918227487
9264,2481,2577.4968,96.25618060158028
5854,7021,6356.99,89.55465179049023
9755,3122,2990.789,95.61283210691158
1007,1675,2327.1353,71.97690796821551
246,2453,2583.4956,94.94887449421178
6536,3033,2814.7368,92.24569834303655
5757,1439,2096.6814,68.63226823173292
3410,5085,4787.363,93.78285666028083
648,2763,2743.976,99.30670219904644
3456,3591,3780.9377,94.97643820147597
4994,3593,3124.745,85.01462150506651
10410,25390,19356.799,68.83161712096273
5894,5112,4771.4067,92.86178520506012
6814,1179,2096.6814,56.23171941988403
10386,9221,8948.427,96.95395347624066
6942,3322,3270.592,98.42817574495133
10192,2750,2591.6853,93.89143824296129
5593,6280,5664.8003,89.1399577175766
2532,10920,10866.013,99.50315441182221
1731,2087,2591.6853,80.52675214070538
10578,1896,2231.7058,84.95743440016356
1453,6159,5809.8257,93.98993471710733
6411,7377,7309.9756,99.08311028847432
9693,3319,3533.154,93.93872869572056
7866,6277,5848.1606,92.66710712077023
8918,2586,2885.0,89.63604852686309
10003,2416,2591.6853,93.22119462000201
1778,1741,2135.8225,81.51426403830949
8092,1400,2096.6814,66.7721859099556
8795,8237,8077.5024,98.02540996117628
4964,2932,3277.9143,89.4471217279888
8115,4962,4295.021,84.47087908271331
3721,3308,3277.9143,99.08216961930867
10176,5252,4914.076,93.1233498157994
2910,3476,3447.557,99.17497763822078
5566,2713,3005.0005,90.28284722681481
5058,2350,2335.2737,99.36939646624077
644,3528,3414.0535,96.66242680991076
2753,3989,3873.442,97.01665576468564
6468,4270,4572.2925,93.38860141252908
1568,8939,9113.641,98.08374466159071
5371,1268,2096.6814,60.476522667016916
3249,3868,3902.2268,99.12289038191273
1107,5667,5904.49,95.9778029101925
350,6276,6547.2285,95.85735376460877
7586,9241,9041.491,97.79340836143098
1648,5032,4710.156,93.16701496589556
10384,6040,5387.926,87.89749070005344
1358,2540,2682.2395,94.69698728060821
3029,2375,2450.4685,96.920241754631
1758,20110,17480.727,84.95901512960926
4040,6746,6949.9233,97.06581886055258
4536,1467,2096.6814,69.96771194993204
8247,11730,11454.856,97.59801830777117
8070,797,2096.6814,38.012451550167576
7508,1100,2096.6814,52.463860357822256
8591,2679,2743.976,97.6320466191656
2224,1023,2096.6814,48.791390132774694
7957,10330,10003.384,96.73494271713723
4010,2915,2930.4612,99.47239766431682
732,2021,2327.1353,86.84497373359018
10183,1064,2096.6814,50.74686129156625
1596,6605,6015.4556,90.19950480748118
5979,10740,10273.216,95.4562992946711
9335,1480,2128.934,69.51835721413734
1394,10490,9894.012,93.97627273757368
9577,11600,10795.928,92.55207810381339
7059,2258,2418.6697,93.35710538675632
6425,7157,6937.818,96.840762715616
5287,3342,3199.8313,95.55699385702172
7171,1740,2157.9949,80.63040472117954
3041,12760,11526.762,89.30108636457754
10552,5326,5622.0605,94.73394951181085
1445,3331,3387.1318,98.34279152225666
8082,4557,4324.1284,94.61460068892586
9791,2551,2531.7732,99.24057942113238
3994,1661,2135.8225,77.76863444436076
2525,15640,14284.593,90.5114045037188
7155,7859,7765.47,98.79556829697876
6233,3039,3552.3447,85.54912976986756
5897,4385,4188.697,95.3135012369949
2725,3236,3552.3447,91.09476272961217
2214,9770,9448.912,96.60185334662576
10073,1938,2327.1353,83.27835680143383
7340,4963,4596.9243,92.0365083608786
6533,6958,7414.0674,93.84862101645086
6711,1196,2096.6814,57.04252453450492
6795,5262,5130.7046,97.44098675226498
4965,10650,10417.71,97.7702389495052
2121,559,2096.6814,26.661179945475126
2744,10790,10165.922,93.86107691290908
9645,5990,5312.2646,87.24206348112114
3757,3052,2814.7368,91.57067963829462
10340,11310,10664.763,93.94982032773123
9602,5713,5392.734,94.0611548797169
7737,3633,3329.4543,90.88302097643657
4581,1246,2135.8225,58.33818092575165
6739,1778,2157.9949,82.39129861738921
3253,6300,6377.542,98.78413984129796
7727,1219,2096.6814,58.13949616016848
4087,3707,3668.8105,98.95907808165431
1582,2365,2591.6853,91.25336311105329
9663,17990,15951.923,87.22362709873643
2254,3388,3296.928,97.23767027736596
531,6091,6377.542,95.5070152021184
7973,1994,2322.5942,85.85227531932507
7803,1037,2096.6814,49.45911199187425
10559,2834,2872.6663,98.65399401569259
9582,5818,5230.0186,88.75756483147634
1413,1929,2157.9949,89.38853488916973
557,3292,3270.592,99.34544086465375
7867,3080,2938.651,95.18999952977201
615,13700,13157.759,95.87892421779122
9144,1257,2128.934,59.043631769034214
