,Amostra existente,Predição,porcentagem de acerto %
6856,2294,2272.8093,99.06764401289145
3032,14560,14452.647,99.25721194436763
913,2309,2258.3015,97.75501694431883
5853,1647,1619.1404,98.27935740038562
3725,2650,2522.783,94.95727365041185
2526,2903,2827.9868,97.3474705342129
1911,2288,2242.1245,97.95392771269053
565,1092,1235.5635,88.38072836517372
3392,14490,14672.468,98.75639342846038
609,4230,4167.207,98.49316416777198
5329,1544,1566.6294,98.55553619699438
8865,872,1156.6624,75.38933011432367
9795,2143,2136.2432,99.68370473684043
6983,993,1179.7406,84.17104569485956
7341,2527,2652.1084,95.28268156342297
740,1521,1660.9154,91.57600653054313
2861,2422,2468.8628,98.10184700817665
9883,4454,4378.884,98.2845808531132
6426,1814,1882.0542,96.38404679062911
4819,3962,3945.8552,99.59084217560914
3708,1182,1280.1848,92.33041875324321
917,2807,2993.0212,93.78483394191322
3085,2305,2219.4526,96.14556481783167
7585,2300,2328.6555,98.76943938844472
3109,4054,4293.1265,94.43001582175722
6642,11050,10925.865,98.863844986533
5537,2192,2100.4768,95.642742016002
19,21680,26299.146,82.43613538135409
6461,2908,2998.331,96.98728882701998
2139,16850,17015.176,99.02924434414591
8308,3581,3547.7349,99.06235561560585
10124,2837,2769.596,97.56628569590009
8675,3481,3507.1367,99.25475620581693
10212,2330,2407.9343,96.76343638924013
9074,3805,3820.721,99.58853453359696
8558,1678,1635.335,97.39105198129923
8503,930,1129.49,82.3380470868113
8914,1908,2013.44,94.76319411183393
4668,1798,1784.2592,99.22988514947781
1628,1575,1615.0248,97.5217234582208
3657,5483,5691.622,96.334576194005
4745,3487,3699.2288,94.26289171208025
4352,1164,1233.2634,94.38372806841288
1039,2555,2508.2307,98.13536741779726
2924,1021,1192.0449,85.65113455573815
4020,4182,4293.1265,97.41152594143777
10478,3591,3564.8164,99.26549951621368
3653,2491,2489.8115,99.9522664044522
2279,2048,2164.457,94.61957296593943
7268,3965,3933.697,99.20423514203915
5919,1216,1256.3241,96.7903109726018
2544,1734,1758.1068,98.62881985523119
4866,11970,11551.679,96.37869698828779
3981,2031,2199.2148,92.35114094341198
4939,3216,3252.6868,98.87210880728485
2087,5990,6338.491,94.50198478880661
5650,5599,5653.5864,99.03448144823032
5016,8992,8944.025,99.4636127774717
2835,16610,16445.676,99.00080592043929
1781,15410,15546.272,99.12343964587069
1074,12470,12121.952,97.1287805190077
3011,6252,6341.7314,98.58506393583056
3163,1487,1534.1288,96.92797732069882
7480,1341,1498.3507,89.49840600288941
6973,8121,8163.4375,99.4801515905524
