,Amostra existente,Predição,porcentagem de acerto %
28860,1590000.0,1789153.748033316,88.86882984471116
40998,782000.0,900468.79205174,86.84365376152505
32814,1063000.0,839963.0024996593,73.44680696213983
47405,1337000.0,1483512.2268306226,90.12396229833362
39786,1625000.0,1447492.6464006386,87.73690809132921
35078,570000.0,585524.1687061364,97.34867157739346
42463,565000.0,704136.9731366573,80.24006998001313
299,473000.0,978277.419380179,48.35029314074174
32955,620000.0,848780.6717280196,73.04596118308767
1977,901000.0,789046.4854277961,85.81154385200686
30430,688000.0,690035.4174883747,99.7050270990751
45128,989000.0,1495338.126801832,66.1388874043647
10697,477500.0,471722.4159640229,98.77521528753941
37655,525000.0,601030.0984676151,87.35003477172587
44610,450000.0,758072.7671286725,59.36105602427196
23146,1130000.0,934859.9215125075,79.12627614073178
33592,1100000.0,1275082.9127059167,86.26889977418296
39582,990000.0,963596.4919762032,97.25989994321722
51503,624000.0,613754.2723638765,98.33064662887607
42190,1302000.0,1062716.944354731,77.48383923712076
6745,750000.0,839804.0380445125,89.30654843555865
10209,660000.0,886672.2654742805,74.4356202059581
10113,1910000.0,1554268.1749916875,77.11258386859687
21729,1400000.0,1343723.3146868616,95.81188443349642
49245,625000.0,706576.1888263829,88.45472149834539
40075,860000.0,895417.8552563785,96.04454444944727
23945,532000.0,601602.6630246815,88.43045962018523
45331,930000.0,1184009.102480607,78.54669343770797
20376,1646000.0,1593962.2756068925,96.73532271186942
1922,600000.0,708750.4339022804,84.65603282900078
9300,535000.0,707191.8842904537,75.6513206506578
6001,2266000.0,3083617.962948248,73.4851083119738
52126,451000.0,373256.2420607895,79.1714781486363
27884,1275000.0,1309545.2821157568,97.36203989372983
46964,1030000.0,1323301.5903667503,77.8356202016305
33476,1200000.0,1151303.2983419204,95.77029773751092
3782,675000.0,590572.5068192593,85.70412740080715
44606,600000.0,1299595.4352655783,46.168213870140846
20947,790000.0,861736.1065984628,91.6753973694305
45756,807500.0,957105.4571858204,84.36896832396027
23352,501000.0,691307.5614508978,72.47136121996331
22529,3250000.0,2316392.1350510214,59.695603744207375
29453,323000.0,497076.34979721386,64.97995733085477
38705,1150000.0,1307775.3350560353,87.93559330668405
41608,550000.0,546164.3829619063,99.2977174715618
22353,1380000.0,1148965.6868398346,79.89197451182268
39277,401000.0,501062.9257623164,80.02986838228337
20180,950000.0,736693.7453703277,71.04546414705263
12194,2460000.0,926360.039343718,65.55549629955897
33534,616000.0,785073.1031168298,78.46403061758322
45441,1100000.0,1235910.2997681906,89.00322298522133
43444,1370000.0,1707868.9581337266,80.21692726923658
23634,965000.0,1451062.8492193203,66.50297749123514
15816,1206000.0,1536399.5221853962,78.49520795766513
4446,1785000.0,1558533.4167364996,85.46925071791458
51553,835000.0,1144165.809003007,72.97893307330997
17111,1232000.0,1182351.7283783644,95.80088814267394
12917,867000.0,1027304.1164225169,84.39565131104898
46332,759000.0,806472.5991165045,94.11355089205622
10214,600000.0,583781.0464264691,97.22174029581589
47136,883000.0,2249677.7489529923,39.25006594437587
49940,1830000.0,1884914.494164784,97.08663208146653
4541,645000.0,1228225.396817067,52.51479098799867
46159,645000.0,748626.3830846787,86.15779707660167
37814,660000.0,700141.6197829709,94.26664282643075
20932,1155000.0,1077208.0741949962,92.77837516552796
41893,782000.0,616607.4526910003,73.17701130805459
7609,630000.0,786874.6293707135,80.06358020512484
20324,692000.0,833813.7032656276,82.99215967425158
52956,1270000.0,810696.2188706083,43.34452653926843
41734,1000000.0,998057.7758636305,99.8053996288252
49452,1425000.0,1268915.4270994174,87.69937148156734
3753,1900000.0,1531430.2727951629,75.93297365526644
7826,890000.0,1172752.0509632928,75.88986941177876
51929,935000.0,1099875.0161708824,85.0096589388056
49858,426000.0,743337.0748462582,57.309128579131894
11672,662000.0,611163.9524228654,91.68209326227392
177,475000.0,557660.1555053248,85.17732445302244
207,1300000.0,1067809.0946942335,78.25539167445899
44490,617000.0,671138.6081360149,91.93331936507472
25436,540000.0,515588.9442677805,95.26540357321139
6007,1840000.0,1814514.5111405705,98.59546513941022
11235,725000.0,878710.7961514385,82.50723709954877
32818,550000.0,383938.611534126,56.747932227411866
3770,1400000.0,1483445.9782541152,94.3748556079997
828,170000.0,340148.2139538127,49.97821332764181
42571,670000.0,954061.3243137103,70.22609374527936
13598,471000.0,672702.2409758078,70.01611876850258
9344,840000.0,1167409.31381163,71.95419721788686
9598,716000.0,595328.2777425308,79.73022166609434
15427,2225000.0,854084.3408742069,60.512913481422515
34749,930000.0,1345389.4135158262,69.12496788343876
30892,740000.0,773001.647299039,95.7307144927374
33098,590000.0,645547.5350049661,91.39528353949353
37961,660000.0,542027.2735605323,78.23490953425376
27268,2371000.0,1839570.5968558672,71.11122541029769
14262,1100000.0,916354.5593223321,79.95912839529294
50857,1555000.0,1443143.129155053,92.24907990169775
20423,731000.0,662938.5403081595,89.73336809469505
18317,590000.0,742345.1391381101,79.47785590473612
39153,601000.0,498834.7170588792,79.51921158505455
20398,635000.0,608618.8643814459,95.66540947669017
35141,652500.0,680274.8937555873,95.91710733255924
3585,535000.0,704832.0200939848,75.90461056645259
46677,1310000.0,1638078.9305200118,79.97172636755285
54140,830000.0,753935.9441860514,89.911071835676
21189,1670000.0,1525148.2889845318,90.50245067567084
2211,4000000.0,2143277.0005038977,13.369900434727953
16216,1033000.0,1147240.8723325918,90.04211974244649
14809,1180000.0,988552.8861363115,80.63359921875846
21266,551500.0,595465.5491187724,92.61660910797663
16475,1355000.0,1069520.9390932743,73.3077632730827
53847,1002500.0,978309.0228938521,97.52726627885015
24269,615000.0,692413.7986167416,88.81972040831744
49064,2000000.0,1611185.076360787,75.8677678099256
30165,786000.0,1161340.9903231007,67.68038040070593
27975,600000.0,634155.4107954985,94.61403147965683
50048,638000.0,814080.6887154283,78.37060979873219
36695,880000.0,786011.0521562868,88.0422867355528
21324,1245000.0,929321.5988082247,66.03130696665119
521,906000.0,707744.9758441688,71.98778784415094
38251,2400000.0,2296167.9356884267,95.478028296722
46255,658000.0,645939.9070473744,98.13293886613185
33869,600000.0,588384.0221056961,98.02578291423806
51812,460000.0,601044.5107471098,76.53343334393176
25645,973000.0,801595.6879524956,78.61711151599131
16721,1730000.0,1410827.4097422317,77.37692165223218
26762,1375000.0,1242189.8825162784,89.3083884071982
29309,705000.0,1183535.5521588128,59.56728538606667
2894,926000.0,1405355.840835197,65.89078531524673
34160,1250000.0,1327973.872660994,94.12835792433552
22982,1500000.0,1727329.4601816281,86.83925299590939
29361,680000.0,768088.2765158234,88.5314905579074
30151,850000.0,1188920.3445011796,71.4934355300837
41759,512000.0,435149.508195421,82.33929020779998
6578,2215000.0,1875072.382522034,81.87122691121118
30462,903000.0,1290414.8748243595,69.97749465054088
46971,570000.0,646013.7896080392,88.2334106746917
17469,450000.0,634734.7620108353,70.89575472035014
38515,722000.0,600883.7658759223,79.84365013630818
