,valores reais,valores preditos,porcentagem de acerto %
23791,1760000.0,1443168.9,78.04615035090747
49961,800000.0,761389.75,94.92897691359781
16197,623500.0,406919.88,46.77573195460164
50250,765000.0,777047.75,98.44954830639429
21671,1600000.0,1779455.0,89.91517065618405
35343,660000.0,660689.25,99.8956771280901
4420,1436000.0,1760524.5,81.56660131682348
5674,1915000.0,1776952.2,92.23120655042925
18074,726500.0,591122.94,77.0983235615011
47691,650000.0,749115.2,86.76903243267911
2158,1320000.0,779799.06,30.7256236282023
29490,1395000.0,963774.75,55.25663543270872
8307,1445000.0,1592101.0,90.76057360682519
33510,1680000.0,1596817.2,94.79071571903421
32164,725000.0,718773.06,99.13367127611296
26879,1088000.0,1140650.9,95.384137587235
16397,600000.0,629136.4,95.3688300092329
12167,1380000.0,1400491.1,98.53686148850103
42618,921500.0,739265.7,75.34928029511718
23235,860000.0,995736.44,86.36823637379445
50078,1053000.0,1062725.5,99.0848530500115
46836,2440000.0,1888877.5,70.82275054893714
46854,1800000.0,1788294.0,99.34540964740697
45452,1000000.0,1287230.5,77.68616421068333
1878,1410000.0,1415128.2,99.6376123506827
31793,383000.0,449951.1,85.12036203934665
45358,974250.0,916211.5,93.66538184687705
11906,625000.0,571854.94,90.70654828437151
41734,1000000.0,872477.0,85.3837980829294
54028,610000.0,594067.8,97.3181197222329
32493,1825000.0,1779644.9,97.45145081262349
24217,1015000.0,999721.0,98.47167359693354
39297,1450000.0,1348866.2,92.50231444370411
18495,395000.0,401082.9,98.48337933249928
15733,400000.0,533465.3,74.98144502131991
43569,306000.0,444620.47,68.8227424302539
36825,1305000.0,1234722.0,94.30819245141822
34957,830000.0,918425.9,90.37201831884364
13115,910000.0,858806.8,94.03903337108193
38931,537500.0,528052.2,98.21081841460983
54111,856000.0,755727.0,86.7315842890356
39402,685000.0,662621.75,96.6227715887684
33405,972000.0,1225136.5,79.33809824456294
42412,463000.0,566643.7,81.70919578099067
2678,1570000.0,1311379.2,80.2787218114058
21303,920000.0,1058408.1,86.92299107208761
21756,1600000.0,1698732.4,94.18787935916039
21683,1590000.0,1637073.5,97.12453350445169
8738,635000.0,568436.0,88.2899745969643
25004,570000.0,554762.56,97.2533407028525
42689,312000.0,365501.75,85.36210838935791
38745,1000000.0,1149660.5,86.98220039742168
11404,860000.0,1070905.8,80.30585324618903
38172,500000.0,548946.7,91.08352621218796
51075,1880000.0,2311477.5,81.33325978730055
43500,975000.0,1147655.4,84.95581698469368
47955,1490000.0,1147939.6,70.20223297893389
31063,499000.0,413367.6,79.28419945231857
52521,1150000.0,1178000.9,97.62301747016954
15478,430000.0,336736.38,72.30366781729475
11858,980000.0,923909.56,93.92901212666041
27429,878000.0,931215.56,94.28536585480443
39984,1070000.0,1270986.2,84.18659131835612
17781,1090000.0,1542219.1,70.67737536972899
14184,863000.0,799500.4,92.05758658962479
30636,609000.0,643634.94,94.6188537193881
10801,1620000.0,1341542.8,79.24350528523969
33072,445000.0,536138.4,83.00096033976303
48715,480000.0,581529.25,82.54098998459665
7230,450000.0,430569.84,95.48733927095887
45598,781500.0,620489.44,74.05103894294736
54010,516000.0,501720.47,97.15388704678993
9507,1405000.0,1461483.5,96.13519413664267
26404,720000.0,577363.0,75.29509164944757
30784,1220000.0,1703802.6,71.60453811367968
36461,820000.0,704880.5,83.6682246139594
30134,615000.0,751185.6,81.87057626402262
41371,2420000.0,2526535.2,95.7833459873556
18642,819000.0,1052269.0,77.83180916666745
19948,601000.0,775041.8,77.54420346192613
8019,772000.0,915692.1,84.30781251940984
46008,1950000.0,2142729.8,91.00541027164066
29800,640000.0,760354.7,84.1712440945529
13431,950000.0,1208921.5,78.58243897556623
1084,517500.0,369569.84,59.97234115506754
27698,1900000.0,2022957.4,93.92189986207693
16655,3100000.0,2214973.5,60.04347230339323
33071,520000.0,535398.1,97.12398600574106
12550,1020000.0,1060312.4,96.19806615951266
15473,2100000.0,1829796.9,85.23316283398943
5044,2200000.0,1373791.9,39.85929455289579
44188,590000.0,645451.6,91.40886429715007
7355,765000.0,788833.0,96.97870144884912
8714,1200000.0,819355.3,53.54339177485957
20764,2100000.0,1302165.1,38.7301303281333
31741,801000.0,646059.94,76.01769533960616
50499,782000.0,704913.5,89.06440293738167
2098,1410000.0,1080694.1,69.5282996934956
14271,1802500.0,1276518.4,58.79560879803239
8574,730000.0,681665.25,92.90931289221507
3132,1136000.0,754483.3,49.433382928532296
34971,2022000.0,1096530.4,15.600183442250739
24947,1071000.0,976128.75,90.28086714995331
41473,660000.0,869685.25,75.88952439977567
53127,474000.0,568095.25,83.43671241750393
53494,1300000.0,1237368.6,94.93834143402498
10883,970000.0,1093945.9,88.6698347850162
24913,300000.0,380393.06,78.86579161784792
27728,1010000.0,1103939.6,91.49051063367709
35569,1230000.0,1178122.8,95.59661758505216
25249,990000.0,783859.06,73.70178551708713
52327,652000.0,662255.75,98.45139132427315
35040,615000.0,673278.0,91.3441401620133
1648,1220000.0,1464785.9,83.28862401134228
53301,490000.0,836224.44,58.59670897264348
42875,895000.0,853377.1,95.12256963766166
51881,834000.0,747833.25,88.47781240002365
35700,1000000.0,1008109.5,99.19557349672829
10693,510000.0,503648.38,98.73887709853129
6374,620000.0,604598.5,97.45260697801929
35206,390000.0,426424.03,91.45826018687825
3311,1400000.0,819022.1,29.06444682431504
31254,910000.0,836177.56,91.17144003729472
20746,995000.0,859454.94,84.22895063070132
40179,1325000.0,1504758.1,88.05401864834589
1874,1400000.0,2265218.5,61.80419239909969
3879,562000.0,488727.1,85.00739836464201
41653,1225000.0,1083411.2,86.9312091784168
21566,1260000.0,1080869.0,83.4271313174862
43071,980000.0,958899.94,97.79955533681533
15998,1060000.0,1146806.1,92.4306189941216
18937,1050000.0,672709.06,43.91469380568961
16083,686000.0,626724.8,90.5420710465329
23585,805000.0,794222.94,98.64306833873077
1634,909000.0,849911.56,93.04769577128798
28941,812500.0,741112.44,90.36751255439563
42124,640000.0,598971.2,93.15011917831188
1236,730000.0,720761.94,98.71829212679532
10258,623000.0,668841.44,93.14614272833536
32057,735000.0,706105.0,95.90783240452907
50046,800000.0,491541.84,37.246816283888364
48477,1005000.0,1317104.2,76.30375499889246
26335,1000000.0,835829.75,80.35841031023364
4931,400000.0,391793.56,97.90541798399252
6315,830000.0,788973.06,94.79995712781385
31810,1575000.0,1651242.0,95.38274825858353
8733,637000.0,702532.44,90.67196986188983
43747,1050000.0,1651141.0,63.59238853616984
44734,875000.0,1053123.9,83.08614216917263
33006,563000.0,705982.06,79.74706864453798
16952,542000.0,535486.9,98.78370034746418
49911,740000.0,663799.56,88.52056527229182
48303,821000.0,620413.56,67.66891479745817
47423,1870000.0,1540640.1,78.62188127808238
36149,558000.0,634401.8,87.95687354692102
52543,1400000.0,1169968.1,80.33862033634462
49610,1220000.0,1045274.2,83.28421244975974
41535,1635000.0,1519041.6,92.36634644557552
24166,1750000.0,2234541.8,78.31583366030193
30624,612500.0,954665.75,64.15858115785551
51882,915000.0,1165845.8,78.48379599102196
10873,450000.0,478605.8,94.02309546752528
10430,1300000.0,1341524.0,96.90471433981055
22630,320000.0,375622.28,85.19196436779534
18729,1210000.0,946502.3,72.1609039914522
42905,545000.0,546477.94,99.72955221087952
11659,930000.0,983612.2,94.54945880283738
53844,395000.0,412527.47,95.75119959814798
45866,666000.0,869149.06,76.62667184893846
31822,865000.0,806211.3,92.70802994345233
28260,625000.0,624516.6,99.92260013894747
42515,1450000.0,1594116.8,90.95946077977037
12711,921500.0,1025545.9,89.85458597841857
20213,400000.0,498538.72,80.2344903125942
54066,1250000.0,1120542.0,88.44684090377693
36320,630000.0,539585.9,83.24379321456479
8845,707000.0,627812.0,87.38666989480927
10788,380000.0,490011.94,77.54913113723887
20575,880000.0,1373004.1,64.0930339521012
47054,1250000.0,1179889.9,94.05790942989489
39190,500000.0,657119.6,76.08964653886268
31584,700000.0,822842.6,85.07094537062905
44476,1100000.0,1786596.5,61.56958216362788
48394,4500000.0,4726166.0,95.21459889474893
11771,635000.0,702427.8,90.40074847548836
27980,590000.0,529910.3,88.66040420755164
21758,1035000.0,661048.3,43.43050569393898
47442,920000.0,1011341.5,90.9682832159068
16027,640000.0,832191.6,76.90536419421429
53220,875000.0,666328.06,68.68330342908229
15214,1850000.0,1547372.8,80.44251134705584
5601,620000.0,664606.1,93.28833675735385
42754,1190000.0,1184909.6,99.57039972563308
30935,675000.0,662906.6,98.17570460998184
16729,647500.0,818454.25,79.11254660843902
5,530000.0,596295.1,88.88216216760115
17957,722000.0,664029.75,91.26993180651921
12933,700000.0,710111.44,98.57607736391375
24357,1520000.0,1268447.4,80.16846185676405
33333,670000.0,615639.44,91.17006494568503
34789,340000.0,480641.72,70.73876168806872
11961,800000.0,1192265.6,67.09914160277832
39962,2860000.0,3516867.5,81.32236997839696
9272,865000.0,793478.7,90.98635998336124
1122,385000.0,423644.7,90.87804269940243
15230,1250000.0,1523440.8,82.05110700892043
817,515000.0,572976.3,89.88155160428207
253,1310000.0,1555245.4,84.23108154235791
1029,902000.0,876520.0,97.0930497877972
1720,912500.0,954921.94,95.55754917401298
29085,770000.0,610258.3,73.82392271797198
29972,660000.0,640370.0,96.93458469322422
39627,660000.0,712937.6,92.57471858074541
39678,1335000.0,1235802.9,91.9730624514043
54112,1505000.0,2204086.0,68.28227210734971
46481,580058.0,563198.94,97.00655285771025
1098,1420000.0,2008635.9,70.69474451162036
33930,550000.0,643805.4,85.42954460422142
19613,605000.0,589953.06,97.44946870243596
237,1430000.0,1163285.0,77.07225658372624
13711,675500.0,621778.4,91.36000427805165
33995,1255000.0,1234890.9,98.37158688212024
21200,1120000.0,1235122.1,90.67929213882393
18917,916000.0,826587.6,89.18295262404878
41,2470000.0,2012325.1,77.2564150139506
31845,1380000.0,1254743.4,90.0173511575624
53690,1000000.0,1102447.6,90.70725695472382
28357,2730000.0,2258619.8,79.12972070663953
37488,475000.0,495918.56,95.78185531218142
15125,631000.0,716279.7,88.09407987016245
50005,1075000.0,1532344.9,70.15392014803456
21019,1570000.0,918396.25,29.049824626352716
41478,1405000.0,1758736.0,79.88691878712893
24692,691000.0,803608.1,85.98718436302521
29408,1160000.0,1227340.6,94.51328965828047
41650,1080000.0,1028872.94,95.03077001673009
45493,775000.0,812127.4,95.42838030795355
45350,466000.0,678003.1,68.73124662957859
20485,1520000.0,1316785.2,84.56735826893565
11971,440000.0,512537.06,85.84745030024048
46429,381000.0,423948.4,89.86942618091278
44011,1600000.0,1500958.2,93.40143205182423
34322,565000.0,672038.9,84.07251738227197
32038,1505000.0,1308856.4,85.01412158381396
43295,585000.0,579632.8,99.07403663418381
22411,1375000.0,1353511.8,98.41240757607017
1536,698500.0,540730.56,70.82291099460463
36705,790000.0,556825.25,58.124249932990665
6713,366000.0,447584.44,81.77228011865358
23713,911000.0,836736.44,91.12461712293963
9729,734000.0,715786.0,97.45538470995521
42836,920000.0,1653194.8,55.64982589014391
4622,569000.0,564550.8,99.21190663417919
54144,1940000.0,2571999.8,75.42769006878791
42740,709000.0,858495.6,82.58632651738907
7481,707500.0,607746.25,83.58628292646809
53528,1325000.0,1596730.1,82.98208815970075
34898,880000.0,1089361.2,80.78128352738818
18065,693000.0,781315.8,88.69652820446406
34402,765000.0,860421.4,88.90992509338811
16770,625000.0,673772.25,92.76131511797941
52791,1835000.0,2053801.8,89.34650094635474
35531,520000.0,610829.25,85.1301734486356
43733,800000.0,962211.6,83.14179326195523
31610,740000.0,751342.06,98.49042625641633
19211,650000.0,591679.94,90.14330910958088
3168,560000.0,555883.4,99.2594444832965
39967,1070000.0,1043600.94,97.47038723793789
48924,945000.0,909214.9,96.06417294921621
19410,772000.0,815753.4,94.63644572723956
14150,945000.0,992340.06,95.22945164778127
41564,490000.0,545957.5,89.75057582320967
16920,890000.0,865933.9,97.22078952044693
35627,928000.0,1355302.0,68.47182399199589
47914,1476000.0,1215557.8,78.57425942946767
