,valores reais,valores preditos,porcentagem de acerto %
36421,1499,2083.0093,71.96319364988726
207501,2300,3053.5046,75.32328495169365
167062,1499,1253.2422,80.39023782065269
2978,16900,21468.863,78.71865304931978
227457,999,1217.121,82.07894065134136
79574,3450,4490.314,76.83204397312227
51472,799,1099.9368,72.64053930656969
112176,7700,8313.382,92.6217531199404
186473,23900,23876.057,99.89971811620575
133011,1900,6579.4863,28.877634290053393
79547,3888,5924.2163,65.62893381121168
146975,29500,27106.203,91.16882263457914
49793,19500,15756.846,76.24426635000536
66407,900,1103.1437,81.585020968904
123142,13900,15126.478,91.89184966628711
92279,1490,1346.4543,89.33898837677152
207132,4500,4432.0635,98.46715815789283
154421,3990,3035.1584,68.54063570899925
153132,10500,12024.062,87.32490248434962
153711,2200,1361.5044,38.41403605917597
210619,1499,1564.2203,95.83048913411196
233002,3799,3602.8582,94.55593761111021
231245,8500,12524.063,67.86934620626027
210563,2500,3426.9517,72.95113114860844
1507,1599,1954.1421,81.82618901207196
67526,19500,15587.045,74.89610700593079
66855,2300,3353.6343,68.58231428328905
14759,1500,3357.0867,44.681598882727315
42029,7990,6216.179,71.46445197390409
111666,16150,21114.473,76.48782076127064
7532,2800,2353.982,81.05261301961954
191532,1150,825.80585,60.74208557086055
215353,5500,6838.206,80.43045143733015
229004,26200,19577.264,66.171287064804
114239,8335,7564.654,89.81650435171129
114275,7600,6824.1357,88.63058580420626
205366,9199,10239.55,89.83793404460855
97191,1950,1055.9282,15.328356780287635
188389,7490,6900.504,91.45720223104176
18617,1200,1754.4725,68.39662500393977
196914,950,2999.771,31.66908411465654
50199,1700,1504.474,87.00369689981484
170735,3400,2702.0615,74.17014858808253
40228,3850,4497.6724,85.59983229172468
201466,9299,9770.461,95.17462952345998
114537,8999,11229.118,80.13986377666114
83815,3200,3167.2036,98.96450021144132
227822,2599,2317.4375,87.85026564901966
177561,15990,18095.459,88.36471080289805
97564,7250,7798.735,92.9637963990178
124982,5600,4458.0317,74.384025759336
151478,4999,4733.4316,94.38951738320796
211040,1290,749.1062,27.79477756532117
193903,4490,6391.384,70.2508274919069
206078,550,1789.1997,30.740000562183962
88061,400,295.05988,64.43429512804542
233098,21450,20914.352,97.43884750192097
246098,5999,2744.696,18.567007122668684
219689,1990,1943.8752,97.6271750978666
230653,3950,3942.5847,99.81191822786882
160113,800,737.6943,91.5539909665282
13795,13900,12933.257,92.525137509245
102166,5900,5547.2085,93.64019751277277
79216,4900,6116.2974,80.11382882422944
235662,1299,1531.4363,84.82233427279175
13563,700,505.6728,61.57056240459349
41217,16800,17087.229,98.31904562309592
131438,7550,7023.9077,92.50997725889181
128169,19800,16350.194,78.90052195599979
215542,9900,14928.019,66.31824554432465
209214,3950,4635.8423,85.2056596629207
209285,5499,4558.432,79.36641712554291
155432,999,696.2149,56.50982288173222
38723,8500,8400.313,98.8132999593928
60422,1200,6655.7153,18.029617255787493
170918,2450,4282.4985,57.20959341578876
149271,15000,14674.349,97.78081211414502
183458,9200,8835.777,95.87786516024383
177828,9100,9560.301,95.18528975413871
77905,6490,5068.8403,71.96282433699693
232901,8750,6171.563,58.2206806182686
98005,5999,6579.6987,91.17438724390684
51776,2300,3030.545,75.89394182538594
48315,2500,2695.8599,92.73479063400349
196988,800,-110.98098,-720.844238878372
47709,6690,4758.4453,59.407862008501326
19631,2400,4759.99,50.42027150955125
102320,15500,17016.914,91.08584519538235
189333,2500,3305.1958,75.6384840925029
147763,1950,1244.8335,43.352544246355734
246169,2799,2752.9485,98.32719304772395
28132,4650,3991.0916,83.49052036117301
175022,899,1308.8474,68.6863870977249
96643,3500,3790.0095,92.34805295764029
221469,1200,782.0487,46.55687162327641
240016,5300,7007.4736,75.63353467621693
187343,600,505.87573,81.39379662916306
128716,7990,6977.7524,85.4932147981199
179872,26500,19763.555,65.91480925867731
210463,5500,7611.395,72.26007828902196
121225,2100,3082.4548,68.12751891276032
46924,4999,3106.0464,39.05584857407814
205835,1100,1888.4751,58.24805428280144
50635,3900,1934.4812,1.6044403862620982
43260,27999,22794.816,77.16944281980227
146254,6000,8981.944,66.80068118428997
93771,5500,7308.62,75.25360344103515
214209,24500,22566.457,91.43178317237646
168090,1190,1676.5298,70.9799498068025
134000,7000,5880.984,80.97229758087985
34904,14300,15467.705,92.45068953521482
1829,4990,4272.093,83.19542049680624
145090,1400,1891.0936,74.03123670469336
144022,3000,2497.315,79.87097861550912
22741,4990,6935.6084,71.94754538223613
85828,4200,4076.6562,96.97438924363564
74720,2150,1383.1635,44.559224243493986
73603,3500,3825.6582,91.48752486934183
90336,7500,8629.121,86.91499306264443
152221,350,975.88965,35.86471078573137
77165,5000,10606.972,47.138807861390546
90621,16990,20332.006,83.56283249921445
45381,4250,4187.051,98.49657379289755
65090,2749,2755.978,99.74680395581834
104335,1280,464.67374,75.46209291751865
226106,850,705.0014,79.43286418890976
51953,6850,5976.0767,85.37630305731551
128908,24300,21034.611,84.476115955093
113043,699,2775.6458,25.183328942756404
135022,6900,5573.4844,76.19952733786933
47433,3999,4642.0283,86.14768640038776
74897,1800,3129.4204,57.518638088965716
213588,1050,2244.1746,46.78780423141991
206863,2499,2301.8403,91.43469400439399
148947,1500,1733.6907,86.52062462145467
239310,11000,11232.405,97.93093938671271
12299,600,1429.9701,41.95891949294517
36643,5750,5207.3984,89.58017964224578
155443,6000,5653.1367,93.8642332830985
197806,1200,1336.2672,89.80239800100506
193529,1400,1535.1307,91.19744435956355
216583,2900,1743.4514,33.663274275375045
211211,5300,5320.6846,99.61124231216576
50715,3900,2611.0054,50.63224904948049
76171,9500,6815.472,60.61127144428889
95209,1000,347.40863,87.84546858603466
119561,19999,21679.652,92.2477892306492
151750,29990,25668.064,83.16220705005742
67461,6000,4328.0024,61.36791554002713
186981,3400,4244.49,80.10384786527018
42249,850,557.6563,47.57636860198403
4278,3290,3422.5098,96.12828670480647
1025,9599,7784.055,76.68381347211361
33131,1500,2107.2014,71.18446241538011
166581,1800,1989.2473,90.48648636707337
102368,1990,2401.603,82.86132126511365
36460,1599,2257.415,70.83323059033316
175106,2950,2281.9062,70.72212103367522
60497,16950,14222.771,80.82491504119919
160478,999,2505.2664,39.875999493644784
93257,12000,11756.758,97.93104364843359
200192,16200,8796.358,15.832879173299574
872,3050,3830.7986,79.6178638248249
212705,10500,12270.733,85.56945749743876
30355,3950,3716.0293,93.70374438862046
119844,6200,6770.3706,91.57548916143476
33832,7150,6683.6934,93.02321911625513
72016,10500,11072.94,94.82576075139538
81102,7000,6065.184,84.58717979000438
161971,750,381.7884,3.556101375155265
23103,13800,12830.912,92.44724083241964
186355,1380,3556.1577,38.80592793282888
62685,1850,2845.6,65.0126488793606
137854,14300,12603.681,86.54107969607404
183211,2999,2664.155,87.43147575794426
46019,13999,15078.962,92.83795582071642
207970,13900,13192.889,94.64020848116121
72146,699,1178.7379,59.300714016383836
201367,3490,4153.559,84.0243254296808
183838,3500,1285.8588,72.19163536649563
70157,669,767.0292,87.2196289235479
211457,6000,8042.6777,74.60201935426997
124573,3790,3656.209,96.34071749736508
33661,1850,2131.9192,86.77627225047671
205806,4950,3870.0674,72.09525027952668
18378,9667,8602.825,87.62993806653951
161047,9500,10548.337,90.06159053694131
216868,1000,486.9981,5.3396068192701875
58386,6950,6748.12,97.00835374435155
189312,2750,2178.9832,73.79434326616521
143185,500,1338.1422,37.36523633648818
74828,500,827.42926,60.4281264898185
176108,1799,1176.584,47.09973755459313
208603,499,1274.4056,39.15550782854791
6411,500,822.09644,60.82011530282211
53795,6300,6560.866,96.02390595158586
126114,15650,19104.908,81.91612246239488
35630,11200,12824.512,87.33275968413759
88412,1599,2032.3096,78.67895833183172
46791,3330,3146.854,94.18002882032634
28620,2850,2549.966,88.23380672670946
135205,2100,2254.4736,93.1481286556547
161354,6200,6368.2095,97.35860647520302
250145,900,1096.062,82.112142413247
99353,500,155.20111,122.16264258312151
80625,5399,5273.2817,97.61593884115652
79000,5950,4630.9937,71.51785455398542
140123,5400,2547.7908,11.948330311829011
16523,5000,4787.108,95.55280361672898
156865,13900,14713.068,94.47383550789444
156312,5990,5954.4326,99.40267385493901
21637,15300,15415.035,99.25374703927704
140543,1699,1548.5334,90.28328687377942
112299,4500,6321.618,71.18430571434796
221127,5199,5271.335,98.62776770071476
154634,6200,6370.9336,97.31697731212128
16104,2200,1737.3082,73.36731818070355
53355,26500,23279.594,86.16639841492079
42976,9450,7261.245,69.85703075039186
84580,3650,12614.006,28.93608930177594
220160,4500,3296.5652,63.49428126798941
247710,2690,3578.8599,75.16360245337168
113274,11500,12152.857,94.6279512775336
5311,11900,10415.083,85.74262930911216
61703,6800,7945.026,85.58814160761577
74701,19500,15322.734,72.73811891032014
87939,1999,797.7146,50.59087560624698
55753,600,542.6551,89.4325307751409
52741,1750,1510.3207,84.13056745712908
226235,1490,2573.3635,57.90087507258909
133819,9950,10465.386,95.0753297118337
136112,11000,9684.19,86.412807762652
23967,7000,4817.836,54.706551015675814
53314,2950,3677.5996,80.21536636233617
209489,2250,1808.0396,75.5558196153519
151411,8590,8692.911,98.81614879940452
250588,16500,14392.593,85.3576957276811
194771,24990,15627.386,40.08841649990566
154381,299,721.5041,41.44120655880156
8563,7999,6056.53,67.92767007264644
130476,1450,1560.4524,92.92177107719132
82577,5900,4812.193,77.39477286040272
103844,1500,5115.9116,29.320287586971826
220997,4500,4854.8716,92.69040228901845
189357,2899,3994.6997,72.57116210505986
213357,10500,7568.517,61.26740713725772
203889,4990,5017.1,99.45984538620408
251194,850,600.11224,58.35983034993353
82590,4999,5999.3364,83.32588215119169
4616,290,-194.80527,-148.8666112414757
96622,1599,1980.3767,80.74221398109847
213620,2490,2250.995,89.3822567189251
251216,650,402.4654,38.495430613893575
81288,2400,2631.4863,91.20320992547433
120445,789,1112.2318,70.93844932553198
76894,1700,2670.9773,63.64711535482088
30705,7490,7353.739,98.1470482602221
11727,5949,19649.23,30.275994825656145
53492,1150,1147.0438,99.74227865597527
205321,12900,15069.128,85.60548467165026
226334,1990,2475.7712,80.37899332781699
239605,3000,2046.2524,53.39052311950795
42642,15300,13759.323,88.80267051878957
185177,5250,3055.7224,28.19120024793392
236266,10500,7538.0884,60.70739062463056
243448,2500,2201.9683,86.46521189871189
145652,999,2333.7842,42.80601474185024
85495,599,891.2166,67.21149390005667
164783,14000,16848.836,83.09179371163901
233580,750,833.85,89.9442372080161
63051,3700,4562.692,81.09247973624397
129069,14800,16834.916,87.91252647927479
49532,4200,3904.896,92.44271795711188
203263,3100,7036.042,44.0588615508847
84945,6900,12076.483,57.13583807760417
92769,19498,18463.266,94.39571310939205
206589,7000,6077.6694,84.82427225626728
29008,1700,1950.91,87.1388208690418
73588,5699,6158.0977,92.54481364412838
240933,500,1002.66614,49.86704758468054
108349,1990,1572.7771,73.47221672452828
56660,550,720.1174,76.37643840441795
102758,4300,4031.5605,93.34154975464584
130974,1350,752.56396,20.613255076557948
206581,3550,2291.0425,45.04870467204668
166220,4699,5626.346,83.51779005666786
52024,3700,4948.4297,74.77119477612058
212498,1899,1566.3629,78.76372826710838
27136,680,899.44904,75.60183768641461
107704,16599,20154.451,82.35897796692903
120996,18200,15442.177,82.14096830103786
22440,21490,23832.975,90.16918933630147
141311,6799,7354.123,92.4515398595229
171280,10500,7965.1777,68.17619957574118
55267,1150,1352.5073,85.02726598277577
184976,3900,2697.3313,55.41264427938893
94857,7250,6642.387,90.85249362871279
61615,3700,3927.3777,94.2104451429857
144148,699,557.6563,74.65397841504333
244613,320,349.72186,91.5012854627954
199439,10500,7852.809,66.28988569165602
119163,7450,6591.9253,86.9829424804539
194136,3450,2547.482,64.57215046337691
205668,7950,5924.8447,65.8192684044825
120057,20500,18171.836,87.18806360288822
199748,3350,2810.0105,80.78336353802058
214416,800,1337.4625,59.81476006966828
216776,9000,12197.876,73.78333750312734
85487,9150,8367.73,90.65135362364441
187564,3200,4605.6304,69.48017409482344
76668,5850,8745.809,66.88918397071454
148256,12500,8591.282,54.50367395273622
144727,2600,2585.8801,99.45396258319552
130289,17100,18583.236,92.0184175569022
152289,600,1445.1608,41.51787218877793
191296,1000,-11.861303,-8430.77672177591
236212,17999,21081.762,85.37711525309477
141636,4400,3281.3713,65.90972045155769
151934,4500,4797.987,93.78933649031063
23171,850,1304.0854,65.17977794393896
37796,5900,7652.4136,77.0998580092078
154359,3250,3884.5718,83.66430552152993
205873,99,108.63949,91.12708612850295
96049,2600,4751.77,54.71645280207571
96353,2499,2291.9158,90.9645794539166
190668,8500,15137.699,56.151201560879535
50056,1999,1756.8086,86.21412673460176
85757,1790,1238.895,55.516410044390454
105336,10990,10704.911,97.3368404123071
220820,4000,3116.794,71.66299504605377
227179,1599,2190.6387,72.99241178059694
152449,6800,5791.617,82.58892499531245
114731,4950,4629.727,93.08224986687488
48708,4450,3390.339,68.74469326294721
5730,4900,3805.9446,71.25403702280349
25729,4349,4057.876,92.82570425712922
126320,9299,8024.3745,84.11557827442134
212292,5300,5819.1313,91.07888589135665
215381,7800,7779.276,99.73359832693498
93301,10800,10252.568,94.66054142302376
127509,18800,15838.479,81.30172995181707
211186,1600,3333.1416,48.002761096316966
110058,2600,1232.8872,10.887093739962694
207182,3850,4516.2197,85.24828801743023
10062,1500,1824.0044,82.23664397395733
211738,650,1148.5172,56.594711272697594
42467,2590,3183.9739,81.34488849759273
131204,60,-311.21585,-19.279223677061236
27586,888,2075.8845,42.77694596253503
221877,3290,2452.4048,65.84596393248415
130015,1900,2869.3093,66.21802615247861
125468,3800,4857.785,78.22494980270876
20661,700,655.483,93.20851482568959
145833,2800,3822.6396,73.24781453424461
223511,25999,22200.559,82.89033408682178
188286,4100,3334.6543,77.04872424580181
41339,850,1600.3429,53.1136172370286
143714,2800,4266.747,65.62376334613445
242046,9499,13021.628,72.94786835633356
152516,12499,12827.073,97.44233749980872
106064,3499,3505.0886,99.8262918943949
146831,15500,20833.383,74.39982330041967
62892,4800,6166.7383,77.83693390385037
20255,12500,6346.322,3.035515081747576
9796,2300,3504.912,65.62218761058001
91217,1300,1379.8442,94.21353250851669
113299,8999,10480.308,85.86580021030886
32162,13500,14664.076,92.06171491315871
210570,3500,3599.442,97.23729685198322
212662,300,102.99068,91.28850211353358
36730,8500,11454.888,74.20413212325354
83863,8300,11102.493,74.75798343084011
90862,2250,3166.3376,71.06001479337503
89758,9800,15319.925,63.96898238692042
101386,950,777.0699,77.74587356585192
87850,8000,9559.031,83.69048903360368
173443,8500,6086.971,60.357479397955274
189226,890,6767.2285,13.151617356279012
170192,650,866.73193,74.99435232585587
71276,700,317.98996,20.13273646231562
247709,999,476.04523,9.854010340373293
65931,3350,4678.002,71.61177001566091
35507,1750,1011.9618,27.068569796999782
231013,9980,10831.71,92.13688361293804
13286,1100,2188.1885,50.26989273465271
150567,23490,20555.738,85.7253401526984
198976,1750,2356.3206,74.26833310383508
118912,10800,10901.545,99.06852723533487
226718,1700,6697.5073,25.38257769204159
156066,1999,1002.66614,0.6315437564472006
104265,25700,2866.8765,696.4460211368298
48452,1490,6269.5273,23.765746894546353
183774,3100,2690.9236,84.79791776881613
1787,5990,5056.658,81.54231986061076
223072,1999,2466.3652,81.05044508975838
211289,9999,8557.152,83.15037995901638
22095,7000,3794.9375,15.543734251222844
218896,499,705.26,70.75404717273418
223935,4800,4471.194,92.64612173958623
205379,2800,5057.3643,55.364807778570125
12983,2690,2851.8506,94.32471719466697
222230,7500,7696.798,97.44312043322603
13742,13500,12566.22,92.56912346149993
108193,250,36.536194,484.2529931892103
210666,7900,5941.979,67.04766215419897
130526,1750,2956.1445,59.198729341559485
169421,699,809.9529,86.30131659737393
162323,990,1779.6901,55.62766350822174
136418,2500,2808.1128,89.0277629253271
162150,14500,15081.363,96.1451543178939
155502,799,1648.226,48.47636326551682
141319,1990,2884.3362,68.99334455764023
4392,4750,4356.564,90.9691206572159
165565,600,151.34625,196.4419272504221
209081,23800,20477.639,83.7756619239107
135101,13300,13721.552,96.92781279221947
40760,21999,20126.857,90.69828667792792
61825,799,400.66257,0.5803223130997139
78459,750,1184.6151,63.31170286531827
120133,1600,1597.6481,99.85278806057458
214510,4100,4897.1396,83.72234190438415
4301,19900,19108.55,95.85814106045866
91429,20750,21790.137,95.22657093814844
24266,8450,8907.733,94.86139315173273
232742,1750,1399.8793,74.98921982582378
85650,7880,9799.874,80.40919690553261
41126,20500,21699.797,94.47093038745322
226029,500,185.32634,69.79435343669576
150041,10999,10822.374,98.36795534713558
110168,2200,3241.6025,67.8676664856099
197655,11899,11011.589,91.94111636825797
90587,12450,8750.787,57.727083925262974
201715,3200,1830.257,25.16116187952551
158725,7200,7850.094,91.71864415192567
222243,29900,27064.096,89.52152575876553
177000,1645,1816.5497,90.55629007790044
69709,6000,6453.848,92.96779015608193
86146,5500,5130.1616,92.79090199837796
151484,4299,4074.6116,94.49301059120079
208138,1290,1084.2567,81.02448585270976
13932,4890,4967.879,98.43235095460918
29705,6600,5805.3105,86.31099151874344
221294,4600,3863.5317,80.93795232943062
98012,2400,1558.5771,46.01339738581177
201835,3690,4628.5093,79.72329272542044
