,Amostra existente,Predição,porcentagem de acerto %
16266,1750,1265.9696036353903,61.76603332539298
114760,19800,19060.3960298846,96.11968204146555
264310,1800,2274.69560341465,79.13146696630253
124058,750,776.1152386969198,96.63513388285395
357543,5199,5440.9072458410155,95.55391711509276
335183,6700,7537.394745566416,88.89013015990729
310080,1999,3414.2076248151093,58.54945626243959
95124,4900,2886.3376849464603,30.23469410541645
8550,7750,8847.407129719752,87.59628540170375
330695,9500,5190.464255266603,16.97205620170402
111277,500,899.0,55.61735261401557
104328,5500,6193.200390996383,88.80707312483945
158246,27900,21017.497878312108,67.25346584290642
122941,6500,9293.031086472058,69.94488600669919
191246,15900,18743.63469594293,84.82879792488468
227177,16998,18900.0,89.93650793650794
323406,24500,17261.65632798962,58.06692281161068
225976,750,1815.715368858054,41.306033581226586
62883,20995,20995.0,100.0
156765,3950,6191.403359461867,63.79813704050642
75067,1299,1807.2572005385819,71.87687505756702
347272,6100,3462.6935261270996,23.83656093230306
90089,14000,14499.06640387313,96.55794111171313
291757,1801,1650.0,90.84848484848484
198776,24999,22338.26972061304,88.08891506519987
355121,500,824.1350370678671,60.669669108950316
87987,1150,1297.1497120546871,88.65591915203052
91253,8250,9700.0,85.05154639175258
237843,4900,4615.81942227478,93.84333415744479
248668,3200,3475.503673418567,92.07298569339227
197359,7400,6823.5,91.55125668645124
42574,10299,11225.53031486197,91.74622232648292
365927,17777,15362.652000639668,84.28430195997538
287374,10900,10900.0,100.0
301269,1990,1231.6666666666667,38.43031123139377
135817,2699,3004.2471957904436,89.83947804900487
191899,6500,8709.497592119971,74.63117052677019
82757,1000,2222.884425436644,44.986594379668155
55141,9450,9016.224025758185,95.1889397046638
57134,1100,1499.0,73.3822548365577
294903,699,1316.3924099490553,53.09966805620305
68317,2600,2999.0,86.69556518839613
93393,3500,3500.0,100.0
177581,2250,1600.7420823956236,59.44019184947547
160124,2550,1401.0353386466509,17.99174298749614
107425,3500,2456.8732509036763,57.54250860468096
94708,3200,3092.099263654318,96.51043750069775
102336,1849,888.7192643904998,8.052202094221343
171844,3900,5289.790776201627,73.72692352116852
369169,22200,22374.800433532168,99.21876204415123
218771,1499,1170.5,71.9350704826997
313090,2000,2447.5,81.71603677221655
344896,1699,1443.3333333333333,82.2863741339492
68134,4250,3790.0,87.86279683377309
244087,12800,11573.458178323668,89.4021147112834
23921,1900,1634.6768279327996,83.76907486951252
160434,800,895.2886666440318,89.35665442954628
124473,4495,4690.0,95.84221748400853
285045,2850,2850.0,100.0
72231,11200,8804.60747701211,72.79387492012559
267912,8400,8400.0,100.0
311275,6800,4002.7399405134493,30.116367761635445
14435,3950,3950.0,100.0
150676,1990,1990.0,100.0
192264,5200,4782.825858133128,91.27766399528277
93536,11850,11850.0,100.0
6660,17100,19050.938266978254,89.7593586224575
299995,1500,2150.0,69.76744186046511
228309,1500,556.9515173511381,69.32326302547864
109118,7500,8273.553421260229,90.65028794916029
312467,3890,3739.360695193736,95.9715224851167
156363,8900,5869.350835628767,48.364832001960764
134127,17501,22355.453544597807,78.28514847657436
52862,600,1198.3010136933415,50.07089146580215
295536,350,981.0541946270102,35.67590882510497
144323,8999,8999.0,100.0
358801,1300,1495.6667705427235,86.9177563882279
115390,22500,12401.788903329056,18.574560691318936
335843,24950,27450.0,90.89253187613843
344436,3500,3669.2348655736087,95.38773417963931
294796,850,1030.3122379394683,82.49926271864182
268519,2390,752.6530184985521,117.54340197395987
195631,1099,781.6353470176651,59.39735143846272
244090,27000,29900.0,90.3010033444816
71843,1000,3195.0863443293997,31.298058713649095
47039,6900,7071.1602256021415,97.57946051084471
182314,1400,1420.0,98.59154929577466
35891,14900,12910.604099144233,84.59099291110917
324278,1400,3411.676589175997,41.03554259632019
108143,18900,7465.074230358951,53.17899617310587
332586,330,3786.2752364659455,8.71568967891561
350349,7000,5712.031339228099,77.45165276096064
275908,2799,3282.171055551205,85.27891912476629
152312,400,1523.7004539679067,26.25187903293918
321747,1200,2816.1508145968605,42.611354256316105
128357,5990,5594.471596127951,92.93001319113314
109880,24499,18676.452850469304,68.82412738570758
49607,9190,11345.400040370125,81.00199170852852
159581,2600,4680.182010287893,55.55339502362785
117071,1800,3033.0,59.34718100890207
268573,8900,10537.13161853132,84.4632137302703
341889,590,2999.0,19.673224408136043
234110,2500,2334.3173879854176,92.90230999146303
47076,19650,17411.262390866803,87.14201441069808
50505,2388,4049.5,58.97024323990616
117773,10000,4391.833840838711,27.69531731852348
371109,6100,4769.358646098937,72.10020355694049
192005,6500,4566.645380440732,57.66357011560467
146999,6000,8554.517953246157,70.1383763853485
111590,700,662.5,94.33962264150944
