,valores reais,valores preditos,porcentagem de acerto %
16266,1750,1819.6552,96.17206857492462
114760,19800,17477.283,86.71008090971661
264310,1800,1750.4159,97.16729569081902
124058,750,604.19446,75.86777898080254
357543,5199,4489.983,84.20891339608514
335183,6700,10446.406,64.13688918138713
310080,1999,3328.9202,60.04950255063033
95124,4900,4643.9497,94.486368089192
8550,7750,8619.512,89.91228567090926
330695,9500,4545.2075,9.011358869258856
111277,500,436.58728,85.47536252388144
104328,5500,6053.735,90.85300437189755
158246,27900,19441.562,56.49301592914665
122941,6500,7159.166,90.79269828096793
191246,15900,19208.01,82.77796707733316
227177,16998,14019.265,78.7525563839435
323406,24500,21307.31,85.01599042215466
225976,750,1439.5936,52.0980355462251
62883,20995,20526.318,97.71667947257119
156765,3950,3950.5962,99.98490882445675
75067,1299,1997.1107,65.04396518627892
347272,6100,3832.9858,40.85513866003055
90089,14000,11248.962,75.54407147117827
291757,1801,1040.6128,26.928900723779122
198776,24999,23407.074,93.19895444269235
355121,500,2581.603,19.367811189563778
87987,1150,1498.1594,76.76085613515673
91253,8250,11915.837,69.23559007646156
237843,4900,4401.402,88.67183318170004
248668,3200,3535.335,90.51476127035568
197359,7400,6437.3823,85.04644236897838
42574,10299,11240.572,91.62344902577212
365927,17777,18778.703,94.66574918229344
287374,10900,12901.898,84.48369092968997
301269,1990,1411.5988,59.02509526050093
135817,2699,2589.2097,95.75969908922839
191899,6500,7614.4604,85.36389470204557
82757,1000,2999.3499,33.34055874901926
55141,9450,8346.164,86.77433214547476
57134,1100,857.95294,71.78783983525011
294903,699,1147.8468,60.89662827213104
68317,2600,3466.2676,75.00863512119315
93393,3500,1390.6218,51.6859676821594
177581,2250,1885.9537,80.6969673844849
160124,2550,1429.9911,21.677210448908255
107425,3500,5921.354,59.10810260104513
94708,3200,3096.8374,96.66877577821249
102336,1849,1840.25,99.52452112484718
171844,3900,4755.8745,82.00384577831426
369169,22200,22667.059,97.93948300870946
218771,1499,1232.329,78.36040335449215
313090,2000,2628.3472,76.09344855100129
344896,1699,837.7493,2.805295327701316
68134,4250,4087.3628,96.02097451904623
244087,12800,9584.949,66.45729979496664
23921,1900,1126.8959,31.3952474405383
160434,800,929.48706,86.06897653091698
124473,4495,3940.3403,85.92355935704614
285045,2850,2895.7615,98.41970842520625
72231,11200,13198.025,84.86117936972401
267912,8400,7483.09,87.74690434839802
311275,6800,5937.4385,85.47249749462864
14435,3950,3746.0642,94.55599851901857
150676,1990,926.50116,14.786563323154212
192264,5200,4415.606,82.23586863044903
93536,11850,5898.123,0.9113730897574044
6660,17100,18346.006,93.2082990220006
299995,1500,933.3667,39.29145948151614
228309,1500,65.2744,2097.99129136479
109118,7500,13019.471,57.60602847087948
312467,3890,5566.245,69.88553177416539
156363,8900,6733.7383,67.82973100124897
134127,17501,23714.846,73.79765493348255
52862,600,931.4743,64.41401521170414
295536,350,1100.4537,31.805062653377732
144323,8999,7809.9365,84.77499179418247
358801,1300,1639.3953,79.29753298715123
115390,22500,14514.949,44.98740118956022
335843,24950,23901.36,95.61263186521165
344436,3500,2559.6965,63.26504120313791
294796,850,656.7782,70.58035691882668
268519,2390,1547.6841,45.57572002270277
195631,1099,701.2295,43.275274037370195
244090,27000,21047.332,71.71770768897557
71843,1000,2229.9863,44.843324256647456
47039,6900,15661.546,44.05695353923134
182314,1400,2673.3354,52.369035857775835
35891,14900,14679.038,98.49471121493866
324278,1400,3495.6487,40.04979125485039
108143,18900,13918.429,64.20880982673108
332586,330,5604.567,5.888055334338199
350349,7000,7621.023,91.85118646988968
275908,2799,2906.927,96.28724760268798
152312,400,1981.5673,20.18604202464375
321747,1200,1410.2617,85.09058879252798
128357,5990,5105.7427,82.68112240726182
109880,24499,22130.342,89.29678436570974
49607,9190,7367.1875,75.25768822905621
159581,2600,2757.819,94.2773950522604
117071,1800,3485.9265,51.63620038863021
268573,8900,12038.77,73.92782108584733
341889,590,1456.4706,40.508885498583695
234110,2500,3758.7976,66.51063082150696
47076,19650,19840.047,99.04210470772892
50505,2388,3422.804,69.76736124361216
117773,10000,4364.706,29.11050308325906
371109,6100,4289.9087,57.805831340424305
192005,6500,5406.9253,79.78380229420404
146999,6000,6723.4194,89.24030486661051
111590,700,1015.7934,68.91165100690337
232992,3250,2918.2876,88.6333203550549
367979,6780,7316.6816,92.66495841987795
287836,7990,5866.37,63.799933512708066
143959,300,48.536457,418.09208615746206
301314,20500,19005.428,92.1360766697096
364842,5999,9035.4375,66.39412867390206
39924,3300,3541.8518,93.1716000599693
91275,3999,4197.0503,95.28120276994201
244228,1650,3022.497,54.59062363390162
261624,5150,3115.8318,34.71508246028367
90146,3950,6423.188,61.4959426254775
242037,15750,17731.201,88.82646949481597
50883,7500,15694.12,47.78859817560804
144610,200,750.0295,26.66561853078203
175985,8500,6714.3027,73.40457622676406
282851,999,1031.7589,96.82494517087862
38700,14000,15194.113,92.14094788457598
95870,800,96.06398,632.7783203923852
48118,5200,13646.205,38.105832135966146
