,Amostra existente,Predição,porcentagem de acerto %
2133,0.97,0.94770265,97.64722048285854
254,4.36,4.4585443,97.78976615051263
710,2.25,2.368368,95.00213164238139
3718,0.54,0.51689124,95.52928022568274
9954,0.12,0.10346278,84.01625948697513
2722,0.75,0.71920717,95.71850312946128
15202,0.02,0.024588916,81.3374596642667
8219,0.17,0.16757569,98.55330276670055
10484,0.1,0.107020594,93.4399596325858
1838,1.11,1.105794,99.61963555263478
11200,0.09,0.07818356,84.88628785871796
3690,0.54,0.533503,98.78219914766395
6911,0.24,0.23697859,98.72502849082747
4705,0.41,0.41642076,98.45810813924977
916,1.88,1.8062868,95.91907621266624
6378,0.27,0.24840556,91.30678110630245
13092,0.05,0.053368025,93.68905902398947
1865,1.1,1.0673636,96.94233721385417
4300,0.45,0.46057823,97.70327118269758
7442,0.21,0.20927192,99.65209031244018
5700,0.31,0.32994592,93.9547905962417
2569,0.8,0.7571014,94.33383923576454
3097,0.65,0.6648347,97.76866660839201
2596,0.79,0.8297858,95.20529000618899
9455,0.13,0.1315783,98.80048878434712
4120,0.48,0.45101634,93.57369989434766
8963,0.15,0.13844238,91.65167660472918
15117,0.02,0.024588916,81.3374596642667
15736,0.02,0.016796332,80.92638216828638
13398,0.05,0.041680798,80.04068425337066
5447,0.33,0.35811344,92.14957191872736
11951,0.07,0.0830332,84.3036313699092
3166,0.64,0.64268214,99.5826653708533
4196,0.47,0.4590749,97.62019548431518
6710,0.25,0.24568063,98.24187613435467
12289,0.06,0.06633287,90.4528941608418
2117,0.97,0.9795651,99.02353767636433
7,28.92,29.553423,97.85668506351122
13692,0.04,0.042618822,93.85524478464615
3108,0.65,0.63524455,97.67720136784568
16588,0.01,0.016691552,59.91054465976633
5814,0.31,0.3014972,97.17980496743608
5475,0.33,0.31594926,95.55284960672539
730,2.22,2.2404401,99.08767344603706
6693,0.25,0.25868812,96.64146851206081
836,2.04,2.0423539,99.88474727515052
1460,1.34,1.3425591,99.80938647699624
804,2.08,2.008828,96.4570347516834
4557,0.42,0.42318642,99.24704072880002
9919,0.12,0.120093375,99.92224763100654
8948,0.15,0.14815134,98.75218008607291
14504,0.03,0.040362533,74.32635574381837
11512,0.08,0.08002208,99.97240545075586
4351,0.45,0.444695,98.80704658945542
13204,0.05,0.055137817,90.68186389450133
5703,0.31,0.29532564,95.03112452676648
2498,0.83,0.82355094,99.21692027411086
14650,0.03,0.037325308,80.37442107519824
6396,0.27,0.26630986,98.6143424550654
15605,0.02,0.017972413,88.71834016556971
1416,1.37,1.3089675,95.33735327854183
2026,1.02,1.0248519,99.52657372892033
13378,0.05,0.051784664,96.55368164801553
9889,0.12,0.113849945,94.59810488812639
848,2.01,1.9963323,99.3153588560775
1179,1.57,1.5816023,99.26641895250042
7557,0.2,0.17998792,88.88143302492759
6411,0.27,0.2843624,94.9492600783997
9138,0.14,0.14125083,99.11445912585506
7595,0.2,0.2208182,90.57224176301293
1162,1.59,1.6623696,95.64659937882965
9710,0.12,0.13044444,91.99319075282118
12848,0.06,0.053368025,87.57312917121266
5519,0.33,0.30621397,92.23222093277205
840,2.03,2.0047917,98.74259939638752
6630,0.25,0.24715476,98.84880119255229
6043,0.29,0.28252882,97.3556034359997
2201,0.94,0.89410317,94.86671872693837
793,2.09,2.047575,97.92803667191731
11892,0.07,0.07566217,92.51650715076653
4923,0.39,0.38496962,98.69330518120583
16553,0.01,0.016307982,61.31966661035779
8480,0.16,0.15803207,98.7547303705968
1286,1.48,1.443152,97.44669650742819
2910,0.7,0.6901021,98.56573402365454
4235,0.46,0.47238922,97.377327712906
13734,0.04,0.040362533,99.1018076584245
6939,0.23,0.22645086,98.43271096792363
6764,0.25,0.29932106,83.52235684043129
5285,0.35,0.35743824,97.91901489097927
6913,0.24,0.2470276,97.15513343132014
851,2.01,1.8793155,93.04616469014817
9512,0.13,0.123315066,94.57898040174808
3612,0.56,0.5567853,99.42262940293043
11060,0.09,0.09816412,91.68319450732484
2219,0.93,0.9477629,98.12580694722531
5543,0.33,0.34052372,96.9095486816126
5498,0.33,0.308616,93.0710051291906
5638,0.32,0.3128358,97.70992094143219
13964,0.04,0.031569045,73.29360152301365
7198,0.22,0.2081731,94.31871647342282
13605,0.04,0.03837002,95.75194570341345
8076,0.18,0.1923526,93.57815106312367
15025,0.02,0.02947774,67.8478071895654
8787,0.15,0.13725804,90.71678258855955
1885,1.09,1.0842878,99.47318068552435
10654,0.1,0.10318305,96.9151393296048
297,4.05,3.9226556,96.75361716326879
3680,0.54,0.6285431,85.91296573427748
7372,0.21,0.2208182,95.10085385116356
1411,1.37,1.3448707,98.13146990854926
5230,0.36,0.36471477,98.70727157837314
12304,0.06,0.05482189,90.55466681851809
1149,1.6,1.6802875,95.22180095412129
1052,1.7,1.7690934,96.0944179372949
667,2.37,2.38533,99.35732322058645
3853,0.52,0.53680104,96.87015506393664
4977,0.38,0.39047685,97.31690813830227
5879,0.3,0.30501842,98.35471414948333
15745,0.02,0.027379619,73.04703557395611
9845,0.12,0.13708131,87.53928589248112
8806,0.15,0.1400797,92.91810833149835
6688,0.25,0.2577056,97.00992174892002
4760,0.4,0.38468814,96.01966905464458
14209,0.03,0.042081714,71.28987243879016
10093,0.11,0.10334964,93.56518419182439
12531,0.06,0.057996795,96.5460066663258
5687,0.32,0.31241983,97.57372372787742
433,3.17,3.3505619,94.61099765001396
2669,0.77,0.7910536,97.33853769949344
10395,0.11,0.105436735,95.67203484526246
2581,0.79,0.8098095,97.55380669229092
2872,0.71,0.6739773,94.6552081576566
2188,0.94,0.9726776,96.64045015013951
7653,0.2,0.2120522,94.31640111416385
1591,1.25,1.2317888,98.52156098431499
2792,0.73,0.73442286,99.39777711786914
7048,0.23,0.23110302,99.52271591426457
15273,0.02,0.024588916,81.3374596642667
16380,0.01,0.015991472,62.53333140757354
13428,0.05,0.048458945,96.81987506398897
2580,0.79,0.86236113,91.6089524073752
4978,0.38,0.40390903,94.08059093902739
15891,0.02,0.016307982,77.36066677928441
2854,0.72,0.70711285,98.17749723202948
12521,0.06,0.053107586,87.02178955481004
3814,0.52,0.54304713,95.7559613466144
9950,0.12,0.121604644,98.68044203537923
15359,0.02,0.024693584,80.99269811794542
6684,0.25,0.25134248,99.46587801681217
9281,0.14,0.13747902,98.16628179674944
15755,0.02,0.016307982,77.36066677928441
12270,0.07,0.06491419,92.16533276098447
10400,0.11,0.100814454,90.88866193824634
12253,0.07,0.06491419,92.16533276098447
10413,0.1,0.105436735,94.84360468612503
6490,0.26,0.241514,92.34578414127085
5244,0.36,0.36993718,97.31381921838275
14529,0.03,0.027626142,91.4072037191761
9393,0.13,0.12613145,96.932918016317
9024,0.14,0.14413573,97.13067084609035
9041,0.14,0.14059569,99.57631032757382
5423,0.34,0.30859014,89.82149731611182
3371,0.6,0.6026592,99.55875138859437
16211,0.01,0.016307982,61.31966661035779
16137,0.01,0.016307982,61.31966661035779
551,2.73,2.85158,95.73640197274455
4390,0.44,0.44461527,98.96196218827865
9132,0.14,0.1495805,93.5950916187272
3800,0.53,0.516539,97.3939967823998
13010,0.05,0.050007783,99.98443666956648
11027,0.09,0.08895284,98.82279123092562
7408,0.21,0.228573,91.87437058624808
685,2.31,2.444053,94.51513783738937
2118,0.97,0.9750497,99.48211105106122
5164,0.36,0.37074915,97.10069574817345
5281,0.35,0.37370744,93.65614897706382
9283,0.14,0.11710542,80.44959520914834
621,2.49,2.2700834,90.31240130148655
10306,0.11,0.106507696,96.72107846391462
11103,0.09,0.07734885,83.64403708219177
7195,0.22,0.23665816,92.96108944418349
9658,0.12,0.11720692,97.61696984352226
6546,0.26,0.25346938,97.42350642050148
13266,0.05,0.048031706,95.90209512407614
5115,0.37,0.36914378,99.76805353609319
7482,0.21,0.19925657,94.60824257946638
1371,1.41,1.4049524,99.64072853343427
15643,0.02,0.024588916,81.3374596642667
9766,0.12,0.11083176,91.72778620433601
7167,0.22,0.22744709,96.72579128175602
1549,1.27,1.3693985,92.741449875241
6915,0.24,0.22730869,94.41670733245455
6233,0.28,0.2686901,95.79073052651006
2996,0.67,0.6838146,97.97977616919758
15781,0.02,0.016307982,77.36066677928441
6283,0.27,0.26843476,99.41690225660074
1026,1.74,1.7493392,99.46612853666569
1104,1.66,1.6450933,99.09387035967931
2161,0.95,0.9365608,98.5650488201306
7393,0.21,0.20935489,99.6918593018761
11137,0.09,0.09823746,91.61474436999822
8815,0.15,0.13814305,91.41690261808726
8791,0.15,0.16310023,91.96798931722536
4310,0.45,0.47568944,94.59953516868008
10617,0.1,0.10179837,98.23339954063289
9083,0.14,0.13527098,96.50404180182117
7162,0.22,0.21111658,95.79217427921382
7462,0.21,0.21215661,98.98348266690378
4295,0.45,0.47238922,95.26042928436456
2600,0.79,0.76042056,96.11012107160045
8997,0.14,0.14815134,94.49796525299861
2726,0.75,0.75061345,99.91827337983248
3132,0.64,0.65149003,98.23634559292617
8319,0.17,0.16875358,99.2613959676856
2122,0.97,1.0543462,92.00014155694778
197,5.1,4.733239,92.25137770062265
13002,0.05,0.04535749,89.76462764461164
9616,0.13,0.12952855,99.63602796613269
4553,0.42,0.38108316,89.7878354698343
10216,0.11,0.0963546,85.83834689284629
7448,0.21,0.22694649,92.53282649560039
2394,0.87,0.83585393,95.91482861882317
12832,0.06,0.059067786,98.42178905400947
4608,0.42,0.42369258,99.12847565029567
10923,0.09,0.0963546,93.40498890585305
16573,0.01,0.017997542,55.56314178828209
11537,0.08,0.07641768,95.31218033410073
2661,0.77,0.75996333,98.67932228445196
12868,0.05,0.05908251,84.62741082965461
4193,0.47,0.4732715,99.30875000535252
2039,1.02,0.97419345,95.29800307802363
11223,0.09,0.08426504,93.19413870832376
4027,0.49,0.5092322,96.22329024677126
13978,0.04,0.033108298,79.18436544332614
2248,0.92,0.9503797,96.80341148540276
8477,0.16,0.14859004,92.32118346012706
13467,0.05,0.04793578,95.69378060336209
11453,0.08,0.079504155,99.3763277154518
10725,0.1,0.0791458,73.6509021329561
2464,0.84,0.8730875,96.21028540594476
15076,0.02,0.032216404,62.08017576267414
10272,0.11,0.105436735,95.67203484526246
679,2.34,2.1625423,91.79402625695121
16114,0.01,0.016307982,61.31966661035779
10461,0.1,0.09961973,99.61827974440295
3776,0.53,0.545231,97.20650786262152
723,2.23,2.151954,96.37324651402307
6814,0.24,0.24423154,98.2674076261031
490,2.94,2.8363879,96.34703954626642
11794,0.07,0.08194751,85.42053016831187
15420,0.02,0.023535715,84.97723415852033
8161,0.18,0.17277434,95.81786559192183
3963,0.5,0.5399467,92.60173696256967
12419,0.06,0.06599987,90.90926586465903
9598,0.13,0.11943167,91.15114673271678
872,1.95,1.9489383,99.94552164708051
13718,0.04,0.048458945,82.5440999488088
4492,0.43,0.4390262,97.9440391955211
10884,0.09,0.09546177,94.27857786305452
16601,0.01,0.01894132,52.794629662336014
11359,0.08,0.08002208,99.97240545075586
2431,0.85,0.9043752,93.98754015218451
1805,1.13,1.1371967,99.36715782813286
15615,0.02,0.027807698,71.9225311243565
1619,1.23,1.2513934,98.29043075131872
11511,0.08,0.08285086,96.55904764491252
5847,0.3,0.30994824,96.79035574242916
4932,0.39,0.39268586,99.31602823877415
2654,0.77,0.74799395,97.05799037010641
8862,0.15,0.13735925,90.79730436775868
3220,0.62,0.61002576,98.36494832104717
256,4.34,4.6898375,92.54052066728606
4968,0.38,0.38797522,97.94440067695538
3086,0.65,0.6299467,96.81666860950091
7737,0.19,0.19662783,96.62925352412609
7458,0.21,0.20771435,98.89961816349742
350,3.62,3.3896875,93.2054958086511
118,6.74,6.1675262,90.71793564987196
12411,0.06,0.064554326,92.94497131055066
2730,0.75,0.72004575,95.83995116703032
12423,0.06,0.06491419,92.42971477629901
6886,0.24,0.24254014,98.95269458417987
2982,0.68,0.6538709,96.00393286024882
6918,0.24,0.23475827,97.76718103641271
3127,0.64,0.69821864,91.66183197863441
7053,0.23,0.23646607,97.26554207774936
13579,0.04,0.040362533,99.1018076584245
2274,0.91,0.91899055,99.02169261678951
12348,0.06,0.05482189,90.55466681851809
9758,0.12,0.11607511,96.61866659546125
12307,0.06,0.06204442,96.70491017610289
43,12.13,8.520945,57.64489060710309
7667,0.2,0.21018597,95.15382753569534
855,2.0,2.03492,98.28396312486139
10055,0.11,0.10244851,92.62898797315513
1454,1.34,1.3445429,99.66212598224836
13074,0.05,0.053368025,93.68905902398947
8627,0.16,0.1391351,85.00386207898107
2240,0.92,0.87385494,94.71936782941619
6395,0.27,0.2464863,90.46044619154732
3738,0.54,0.52894574,97.91013424590756
4576,0.42,0.46263936,90.7834557201
12829,0.06,0.053132366,87.07448194443501
6795,0.24,0.23911153,99.62842770166185
14583,0.03,0.037325308,80.37442107519824
1126,1.63,1.7003547,95.86235180731609
6803,0.24,0.25422275,94.40539816888034
9803,0.12,0.11528463,95.90980092664492
169,5.42,5.4049296,99.7211737598698
4486,0.43,0.44605428,96.40082372681732
12406,0.06,0.054542333,89.9937042964543
8607,0.16,0.16371548,97.73052510476246
5634,0.32,0.3131182,97.80216842844855
10181,0.11,0.108579665,98.6918963398584
4187,0.47,0.47418714,99.11698665332585
11327,0.08,0.07791171,97.31967414012999
4242,0.46,0.4691423,98.05127608317802
4941,0.39,0.38799044,99.48206067241685
11485,0.08,0.07818356,97.67670031886043
2967,0.68,0.6970571,97.55297991103305
3846,0.52,0.52339077,99.352153275694
8296,0.17,0.16762847,98.58524452421986
203,5.05,5.4330235,92.95008652016223
2862,0.71,0.7263955,97.74289790327215
782,2.11,2.1256766,99.2625109721757
13376,0.05,0.048031706,95.90209512407614
395,3.39,3.3664565,99.30064471936215
6522,0.26,0.26126984,99.51397465951223
8596,0.16,0.158084,98.78798941033881
8687,0.16,0.15291826,95.36894054873963
616,2.5,2.3398528,93.1556724672597
1225,1.53,1.4962896,97.74706788762428
1395,1.38,1.3892611,99.33337755289678
155,5.64,5.2383723,92.33296816041054
3834,0.52,0.52140963,99.72965003094491
11658,0.08,0.08002208,99.97240545075586
2325,0.89,0.8391967,93.94619650973365
4516,0.43,0.42142,97.96402831043775
3993,0.5,0.49592137,99.17756586996916
1132,1.63,1.6054282,98.46945625658819
3180,0.63,0.62031865,98.43929425917777
2763,0.74,0.7792695,94.96072724029642
8390,0.17,0.16731572,98.39568065457063
6859,0.24,0.25422275,94.40539816888034
13289,0.05,0.042618822,82.68094401919232
4333,0.45,0.6039884,74.50474102863802
10086,0.11,0.111505054,98.65023702129267
12528,0.06,0.06633287,90.4528941608418
8989,0.14,0.14522138,96.40453609931497
6231,0.28,0.29219192,95.827426523821
10895,0.09,0.09871027,91.17592440236257
14900,0.03,0.024588916,77.99381050359995
738,2.2,2.234721,98.44629615029139
212,4.92,4.727729,95.93311793742787
8340,0.17,0.15325934,89.0769049475647
867,1.96,2.149891,91.16741692853378
446,3.11,3.0573673,98.27849683799965
12583,0.06,0.056668434,94.12094978528864
13301,0.05,0.041680798,80.04068425337066
3404,0.59,0.5999871,98.33544924441043
8753,0.15,0.14901985,99.34227037244841
4291,0.45,0.4573566,98.39149540597332
8730,0.15,0.14962417,99.74881656486517
3641,0.55,0.5641709,97.48819070920403
14832,0.03,0.02460114,78.05442730250896
16314,0.01,0.01894132,52.794629662336014
3712,0.54,0.522377,96.62638566358497
148,5.95,5.0743003,82.74245391590853
40,12.66,11.670411,91.52053101853323
3339,0.6,0.59277135,98.7805333968557
6304,0.27,0.25909442,95.79088464078743
4163,0.47,0.47012213,99.97402191524506
12319,0.06,0.06640431,90.35557695837684
5622,0.32,0.32583845,98.20817749478566
2816,0.73,0.70543295,96.51745094992472
8375,0.17,0.16762847,98.58524452421986
516,2.83,2.8488019,99.34000845779485
11747,0.08,0.07310471,90.56792555362094
2413,0.86,0.8771229,98.04783577789134
5823,0.3,0.30878422,97.15522485640733
10990,0.09,0.08895284,98.82279123092562
2080,0.99,0.97599745,98.56530854034196
959,1.82,1.8258129,99.6816247866859
2803,0.73,0.7033426,96.2099007205937
8356,0.17,0.1581402,92.50045036050984
1835,1.11,1.0585474,95.13931794616934
9241,0.14,0.13788266,98.46439347296796
6542,0.26,0.26641807,97.59097811545983
7413,0.21,0.18620916,87.22359133134367
922,1.88,1.8844689,99.7628555691583
6307,0.27,0.25346887,93.47804374930335
288,4.09,4.2314525,96.65711794648612
11729,0.08,0.08002208,99.97240545075586
10885,0.09,0.084901795,93.9951738107361
12499,0.06,0.046837658,71.89794930170379
3694,0.54,0.5429243,99.46138255072756
1334,1.43,1.430067,99.99531887867488
3090,0.65,0.6462311,99.41678989931617
1914,1.07,1.0293282,96.0487071190419
10653,0.1,0.10211196,97.93172317001496
4015,0.49,0.4960511,98.78014526294325
13988,0.04,0.044410788,90.06820691812979
6570,0.26,0.26630986,97.6306331914185
6083,0.29,0.28218332,97.22992815863884
4177,0.47,0.4808275,97.7481508183951
3915,0.51,0.54806393,93.0548369453921
2286,0.91,0.9467342,96.11990457557259
4846,0.4,0.40508887,98.74376412862745
7963,0.19,0.1880307,98.9526736361542
2356,0.88,1.0085766,87.25167453573371
2899,0.7,0.7149007,97.91570031889997
2307,0.9,0.90925354,98.98229291702914
6103,0.28,0.27679366,98.84161317809641
5007,0.38,0.38468724,98.78154398037428
1771,1.15,1.1620959,98.9591302830515
11457,0.08,0.09023047,88.6618432605215
4821,0.4,0.42370307,94.40573460890381
4838,0.4,0.41225046,97.02839404518092
1254,1.5,1.46547,97.64375629461135
6696,0.25,0.24108866,96.30370773906674
2450,0.85,0.87763685,96.85099253934125
1676,1.2,1.3107747,91.54891490440473
4381,0.44,0.42961684,97.58315774168574
295,4.05,4.016185,99.15802696333058
8532,0.16,0.16478643,97.0953747435261
9799,0.12,0.12542795,95.67245848949435
11605,0.08,0.07872839,98.38481742629187
13110,0.05,0.053963378,92.6554300093803
7756,0.19,0.199203,95.38008990979921
7704,0.2,0.18500412,91.89429657451672
1347,1.42,1.4128392,99.49316059040714
1239,1.52,1.5521328,97.9297619382263
15459,0.02,0.024588916,81.3374596642667
9499,0.13,0.12879266,99.06256958562113
2749,0.74,0.73328066,99.08366036957968
987,1.77,1.813555,97.59836331628279
3392,0.59,0.5701796,96.52382880832646
3757,0.53,0.5312173,99.77085138179652
7059,0.23,0.23835234,96.4957997393651
2341,0.89,0.88719404,99.6837261699069
2468,0.84,0.774102,91.48716451394428
2056,1.01,0.98962826,97.94147504153865
9095,0.14,0.14125083,99.11445912585506
6015,0.29,0.29230013,99.2130914007136
1974,1.05,1.0350688,98.55746300784102
5048,0.38,0.39789525,95.50252311617524
8808,0.15,0.1522312,98.53433362734744
16424,0.01,0.018069748,55.34111538850867
11385,0.08,0.08204631,97.50591137778014
3603,0.56,0.58000636,96.5506652421998
1928,1.07,1.1277084,94.88268126188173
12306,0.06,0.06633287,90.4528941608418
411,3.28,3.2322967,98.52416720666125
7451,0.21,0.2120522,99.03222116987203
4383,0.44,0.460563,95.53524624480633
15737,0.02,0.017843975,87.91734871023331
7729,0.19,0.19783771,96.0383132389281
12605,0.06,0.069313705,86.56296763841151
2216,0.93,0.92320424,99.26389454261684
4642,0.42,0.41966298,99.91969323269956
3747,0.53,0.5308125,99.84693240938579
8631,0.16,0.1522312,94.89671079749607
9969,0.12,0.136691,87.78924468706482
2153,0.95,0.9994558,95.05172623756819
5680,0.32,0.47687632,67.1033531371236
8101,0.18,0.1801364,99.9242809988031
366,3.53,3.449538,97.66745553468172
5682,0.32,0.32783374,97.61045282958835
6580,0.26,0.2652263,98.02949238374484
8592,0.16,0.16805266,95.20825286937027
14533,0.03,0.022636116,67.46842702576026
7584,0.2,0.20817804,96.07161099543957
7085,0.23,0.23996073,95.84901659838748
2184,0.94,1.017707,92.36450265281894
4443,0.44,0.43026087,97.73645853730642
12369,0.06,0.055669066,92.22021352220769
8984,0.15,0.14326419,95.29832914460621
542,2.77,2.8106027,98.55537513523748
5371,0.34,0.34176597,99.48328091537992
1721,1.17,1.1809655,99.07147648293466
11597,0.08,0.08194751,97.62346304949926
3278,0.61,0.6128197,99.53988558765492
16377,0.01,0.017997542,55.56314178828209
15829,0.02,0.016796332,80.92638216828638
3497,0.57,0.5673449,99.5320137652404
746,2.19,2.1786268,99.47796362437748
3257,0.62,0.588727,94.6880298060179
8086,0.18,0.18645403,96.53854198584192
7521,0.2,0.20472486,97.69209118111971
830,2.05,2.1148226,96.93484336163894
222,4.76,4.681212,98.31693047711198
12598,0.06,0.06253389,95.94796904192307
1985,1.04,1.0386505,99.87007301414741
1745,1.16,1.2969952,89.4374962316121
2371,0.88,0.8970896,98.0949951317769
14652,0.03,0.024817865,79.11933767587638
10832,0.09,0.09450692,95.23112232058895
9785,0.12,0.119916916,99.93071527413275
2151,0.96,0.9240592,96.11055359684855
1927,1.07,0.99498594,92.46079175016926
10327,0.11,0.1045067,94.74359184215876
7285,0.22,0.22830133,96.36387078869238
8181,0.18,0.16866134,93.27726267509675
5063,0.37,0.3760065,98.4025505907455
7151,0.22,0.23064855,95.38321505576552
5317,0.35,0.34479687,98.49095675399975
2259,0.92,0.90149605,97.94741782820748
7012,0.23,0.23057596,99.7502064633448
7077,0.23,0.23170836,99.26270995200225
6101,0.28,0.3099794,90.32858050858255
9684,0.12,0.1287641,93.1936825528641
12387,0.06,0.06633287,90.4528941608418
8028,0.18,0.16983826,94.01681626910383
8044,0.18,0.18645403,96.53854198584192
14598,0.03,0.024588916,77.99381050359995
1691,1.19,1.1346607,95.12283468008317
15591,0.02,0.023535715,84.97723415852033
7890,0.19,0.18141593,95.26829336807884
7702,0.2,0.20610885,97.03610343492078
7042,0.23,0.23127103,99.45041602192119
2149,0.96,0.95841974,99.83511819157363
9060,0.14,0.1411455,99.1884278419791
5551,0.32,0.33360893,95.9206950687588
2086,0.99,0.9259884,93.08721086476291
4404,0.44,0.4261477,96.74941325159045
6280,0.27,0.27786845,97.16828243840065
2099,0.98,1.0270194,95.42176298042206
5422,0.34,0.33671442,99.02422257726211
4667,0.41,0.42058912,97.4823126151761
12872,0.05,0.053144593,94.08294875056193
5726,0.31,0.30806682,99.37247870684425
7432,0.21,0.2122964,98.91830641883853
8403,0.17,0.16074955,94.2454301743093
3503,0.57,0.57768506,98.66968030262649
12893,0.05,0.053368025,93.68905902398947
2422,0.86,0.87177515,98.64929043973866
1978,1.05,1.0480345,99.81246312510727
7868,0.19,0.20288254,93.65024560387101
10516,0.1,0.09403531,93.65697065716223
2228,0.93,0.93425083,99.54500103610229
13001,0.05,0.05497349,90.95292933430031
972,1.8,1.90667,94.40543063228685
8906,0.15,0.15141231,99.06724345415874
3531,0.57,0.5684167,99.72145693628134
1875,1.09,1.1061996,98.53556068635349
5460,0.33,0.31868112,96.44821158639294
2416,0.86,0.83623004,97.15748546716758
4417,0.44,0.4394025,99.86401780641366
4064,0.49,0.47957978,97.82721791356677
2926,0.7,0.7075872,98.92773884134255
