,valores reais,valores preditos,porcentagem de acerto %
2133,0.97,0.89005566,91.01805117589264
254,4.36,4.4499483,97.97866616489243
710,2.25,2.1840923,96.98237490894574
3718,0.54,0.48420995,88.4781292256787
9954,0.12,0.10420996,84.84785852742553
2722,0.75,0.72141373,96.03746544128326
15202,0.02,0.030025203,66.61070749764046
8219,0.17,0.16575103,97.43653173954674
10484,0.1,0.10806277,92.5388116979808
1838,1.11,1.1529316,96.27631230799885
11200,0.09,0.07868708,85.62289913808098
3690,0.54,0.525607,97.26164027170103
6911,0.24,0.23470776,97.74517799569308
4705,0.41,0.41901267,97.84907080732405
916,1.88,1.9049933,98.68801135802573
6378,0.27,0.24478011,89.69691947635935
13092,0.05,0.05385286,92.84557980251408
1865,1.1,1.0074484,90.81327024088014
4300,0.45,0.48430616,92.91643185508391
7442,0.21,0.1979163,93.89453978779304
5700,0.31,0.30187383,97.30809160245053
2569,0.8,0.7471468,92.92599315375303
3097,0.65,0.6069131,92.90064574725267
2596,0.79,0.75879866,95.8880605825571
9455,0.13,0.12980627,99.85075083648532
4120,0.48,0.4519772,93.79995117975017
8963,0.15,0.13626705,89.9220326642884
15117,0.02,0.030025203,66.61070749764046
15736,0.02,0.021671135,92.28865963786299
13398,0.05,0.045040086,88.98777835822203
5447,0.33,0.34902188,94.54994577427429
11951,0.07,0.08709321,80.37365786063728
3166,0.64,0.648115,98.74791055187512
4196,0.47,0.43956172,93.07531260585289
6710,0.25,0.24368252,97.40749503294666
12289,0.06,0.06754892,88.82450994417435
2117,0.97,0.857481,86.87796034851311
7,28.92,29.264542,98.82266522271195
13692,0.04,0.044714574,89.4562927180482
3108,0.65,0.6501546,99.97622248478702
16588,0.01,0.021671135,46.144329818931496
5814,0.31,0.3157129,98.19047654109329
5475,0.33,0.3357818,98.2781042779211
730,2.22,2.2762938,97.52695562844517
6693,0.25,0.2526054,98.9685856505244
836,2.04,1.9889148,97.43150629633605
1460,1.34,1.3058394,97.38401367515127
804,2.08,2.0023694,96.12306320641693
4557,0.42,0.414021,98.55586676848851
9919,0.12,0.12658574,94.7974100135079
8948,0.15,0.14978513,99.85654865592709
14504,0.03,0.045704383,65.6392183118033
11512,0.08,0.08328866,96.05148882059503
4351,0.45,0.46030053,97.7622152960517
13204,0.05,0.05385286,92.84557980251408
5703,0.31,0.3218731,96.31124854390201
2498,0.83,0.83793044,99.05356811071735
14650,0.03,0.041310824,72.62019191490168
6396,0.27,0.2666413,98.74036349850121
