,Amostra existente,Predição
411,,1
118,,0
166,,0
687,,0
516,,0
836,,0
240,,1
480,,1
965,,1
16,,0
815,,1
887,,0
435,1.0,0
663,,0
346,,1
205,,1
230,,1
229,,0
803,,0
510,,1
859,,0
90,,0
752,,1
751,,1
856,,0
154,,0
407,,0
178,,1
428,,1
372,0.0,0
282,,1
270,,0
468,,1
879,,1
192,1.0,0
818,,0
996,,1
276,0.0,0
341,,1
804,,1
622,,1
219,,0
819,,1
238,,1
947,,0
701,,1
931,,0
157,,1
76,,0
255,,1
252,,1
928,,1
183,,1
850,,0
64,,1
568,,0
895,0.0,0
47,,1
650,,0
505,,1
206,,0
736,,0
326,,1
38,,1
710,,0
976,,0
259,,0
45,,1
426,,0
476,,0
180,,0
872,,0
262,,0
536,,0
582,1.0,0
214,,0
373,,1
399,,1
306,,0
234,,0
169,,1
651,,0
547,,1
941,,1
960,1.0,0
102,,0
750,,0
165,,0
873,,1
283,,1
318,,1
889,,1
153,,0
327,0.0,0
812,,0
12,,0
264,,1
296,,1
323,,0
723,,1
