,Amostra existente,Predição
945,0,0
452,0,0
304,1,1
433,0,0
864,0,0
291,0,0
986,0,0
923,1,1
260,0,0
546,0,0
591,1,1
390,0,0
407,1,1
261,1,1
594,1,1
618,1,1
196,1,1
78,1,1
765,1,1
644,0,0
991,1,1
417,0,0
416,1,1
165,1,1
279,0,0
388,0,0
576,1,1
810,1,1
729,0,0
669,1,1
785,1,1
674,0,0
987,1,1
480,0,0
612,0,0
362,0,0
855,1,1
70,1,1
779,0,0
675,0,0
545,1,1
337,0,0
736,0,0
740,1,1
687,0,0
380,0,0
414,0,0
346,0,0
570,1,1
189,1,1
751,0,0
593,0,0
743,1,1
663,1,1
108,1,1
878,0,0
542,0,0
192,1,1
371,1,1
561,1,1
972,1,1
336,0,0
670,0,0
872,0,0
553,1,1
624,0,0
647,1,1
577,0,0
472,0,0
114,0,0
63,0,0
15,1,0
275,1,1
423,1,1
458,1,1
822,1,0
928,0,0
830,1,1
828,1,1
512,0,0
222,1,1
195,1,1
459,0,0
799,0,0
363,1,1
980,1,1
705,0,0
98,1,1
733,1,1
46,0,0
731,0,0
411,0,0
721,1,1
58,0,0
877,0,0
430,0,0
677,1,1
99,0,0
918,0,0
921,1,1
320,1,1
946,0,0
725,0,0
248,1,1
974,1,1
277,0,0
85,1,1
298,0,0
21,0,0
931,1,1
808,1,1
200,0,0
849,1,1
676,1,1
293,0,0
77,0,0
372,0,0
51,0,0
722,1,1
667,0,0
216,1,1
366,0,0
299,0,0
52,1,1
807,1,1
266,1,0
185,1,1
794,1,1
367,0,0
445,0,0
746,1,0
693,1,1
993,0,0
564,1,1
87,1,1
464,0,0
65,0,0
400,1,1
566,1,1
10,1,1
206,0,0
273,0,0
484,1,1
539,0,0
726,0,0
885,1,1
944,1,1
879,0,0
329,1,0
215,1,1
587,1,1
630,0,0
254,1,1
264,0,0
513,1,1
18,1,1
875,1,1
318,0,0
4,0,0
530,1,1
775,1,1
135,1,1
662,1,1
963,0,0
617,0,0
819,0,0
873,0,0
727,0,0
782,0,0
251,1,1
524,0,0
381,1,1
3,0,0
94,1,1
563,0,1
456,1,1
112,0,0
111,1,0
646,1,1
486,0,0
948,1,0
519,1,1
611,1,1
522,0,0
444,1,1
357,1,1
894,0,0
219,1,1
350,0,0
636,1,1
482,0,0
106,0,0
699,0,0
66,1,1
287,0,0
730,0,0
898,1,1
774,1,1
505,0,0
540,0,0
133,0,0
233,1,0
643,0,0
497,1,1
281,1,1
224,0,0
926,0,0
183,0,0
437,0,0
762,1,1
573,1,0
44,0,0
214,0,0
814,0,0
269,0,0
207,0,0
265,1,1
897,1,1
101,0,0
127,0,0
511,0,0
136,1,1
869,0,0
384,1,1
673,1,1
167,0,0
156,1,1
286,1,1
964,0,0
501,0,0
580,1,1
172,0,0
745,1,1
776,1,0
285,0,0
852,1,1
147,1,1
847,0,0
246,1,1
702,1,0
744,1,1
145,1,1
322,0,0
711,0,0
471,0,0
999,1,1
191,1,1
906,1,1
508,1,1
865,1,1
115,0,0
168,1,1
56,1,1
117,1,1
671,1,1
0,0,0
37,0,0
766,1,1
709,1,1
157,1,1
680,0,0
834,0,0
448,1,1
588,0,0
297,0,0
374,0,0
316,0,0
583,1,1
943,1,1
395,0,0
908,1,1
592,0,0
460,1,1
45,1,1
235,1,1
912,1,1
517,1,1
76,1,1
608,1,1
159,1,0
237,0,0
404,1,1
768,1,1
43,0,0
150,0,0
306,0,0
719,1,1
397,1,0
163,0,0
609,1,0
839,1,1
33,1,1
626,0,0
477,1,1
760,0,0
679,1,1
140,0,0
321,0,0
613,0,0
960,1,1
