,Amostra existente,Predição
186,1.0,1
809,1.0,1
47,,0
306,,0
663,,1
617,,0
364,,0
674,,0
433,,0
707,,0
170,,1
886,,1
741,,0
750,,1
960,1.0,1
955,1.0,1
255,,0
476,,0
37,0.0,0
850,,0
384,,1
795,,0
44,,0
283,,0
941,,0
176,1.0,1
264,,0
296,,0
642,,0
205,,1
969,,1
157,,1
723,,1
588,,0
980,,1
976,,1
303,,1
301,,1
187,,0
282,,1
701,,1
372,0.0,0
220,,0
974,,1
472,,0
856,,0
727,,0
641,,1
551,,0
690,,0
342,,0
121,,1
802,,1
736,,0
984,,0
710,,1
214,,0
872,,0
388,,0
858,,1
404,,1
487,,0
12,,1
646,,1
570,,1
996,,1
327,0.0,0
182,,1
16,,1
38,,1
259,,1
639,,0
972,,1
804,,1
262,,1
398,,0
522,,0
677,,1
154,,0
196,,1
876,,1
145,,1
362,,0
183,,0
7,,1
115,,0
622,,1
468,,1
24,,1
645,,1
781,1.0,1
153,,0
302,,1
407,,1
240,,1
582,1.0,1
644,,0
877,,0
951,,1
545,,1
643,,0
411,,0
966,,1
244,,0
64,,1
429,,0
920,,0
836,,1
863,,0
118,,1
144,,0
89,,1
284,,1
18,,1
355,,0
552,,1
513,,1
335,,1
350,,0
107,,1
469,0.0,0
416,,1
109,0.0,0
218,,1
386,,0
178,,1
931,,1
321,,0
946,,0
427,,0
367,,0
428,,1
516,,0
317,,0
133,,0
219,,1
110,,1
326,,1
676,1.0,1
341,,1
815,,0
278,,1
316,,0
417,,0
206,,0
91,,1
480,,0
483,,1
210,0.0,0
709,,1
752,,0
243,,0
445,,0
418,,0
825,,0
390,,0
696,,1
503,,1
895,0.0,0
489,,0
985,,1
270,,1
604,,1
435,1.0,1
936,,1
737,,1
784,,1
682,,1
216,,1
866,,0
882,,0
528,,1
319,,1
102,,0
900,,1
96,,1
331,,0
318,,0
612,,1
819,,0
192,1.0,1
209,,1
818,,0
134,,1
583,,1
751,,0
803,,1
651,,0
238,,1
172,,0
794,,1
95,,0
755,,0
164,,1
654,,0
165,,1
869,,0
887,,1
308,,0
83,,1
879,,0
510,,1
122,,0
467,,1
889,,1
947,,1
252,,0
72,,1
90,,1
222,,1
366,,0
73,1.0,1
965,,1
120,0.0,0
36,,1
601,,1
162,,0
556,,1
687,,0
926,,0
823,,0
158,,0
541,,0
860,,0
11,,0
399,,0
320,,1
254,,1
2,,0
536,,0
201,,1
873,,0
591,,1
276,0.0,0
346,,0
715,,1
973,,0
166,,1
32,,1
650,,0
475,,0
323,,0
806,,1
239,,0
304,,1
523,,1
88,1.0,1
180,,1
10,,1
633,,1
568,,0
928,,0
914,,1
557,,0
994,,1
811,0.0,0
425,,1
280,1.0,1
394,,1
718,,0
722,,1
508,,1
868,0.0,0
706,,1
245,,1
50,,0
258,0.0,0
426,,1
586,,0
224,,0
894,0.0,0
853,,0
108,,1
229,,0
859,,0
827,,1
334,,0
234,,1
547,,0
479,,1
373,,1
402,,1
647,,1
123,,1
169,,0
45,,1
230,,0
656,,0
511,,0
812,,0
993,,0
423,,1
999,,1
495,,0
505,,0
293,,0
878,,0
797,,0
76,,1
721,,1
