,Amostra existente,Predição
186,1,1
809,1,1
47,0,0
306,0,0
663,1,1
617,0,0
364,0,0
674,0,0
433,0,0
707,0,0
170,1,1
886,1,1
741,0,0
750,1,1
960,1,1
955,1,1
255,0,0
476,0,0
37,0,0
850,0,0
384,1,1
795,0,0
44,0,0
283,0,0
941,1,0
176,1,1
264,0,0
296,0,0
642,0,0
205,1,1
969,1,1
157,1,1
723,0,1
588,0,0
980,1,1
976,1,1
303,1,1
301,1,1
187,0,0
282,1,1
701,1,1
372,0,0
220,0,0
974,1,1
472,0,0
856,0,0
727,0,0
641,0,1
551,0,0
690,0,0
342,0,0
121,0,1
802,1,1
736,0,0
984,0,0
710,1,1
214,0,0
872,0,0
388,0,0
858,1,1
404,1,1
487,0,0
12,1,1
646,1,1
570,1,1
996,1,1
327,0,0
182,1,1
16,1,1
38,1,1
259,1,1
639,0,0
972,1,1
804,1,1
262,1,1
398,0,0
522,0,0
677,1,1
154,0,0
196,1,1
876,1,1
145,1,1
362,0,0
183,0,0
7,1,1
115,0,0
622,1,1
468,1,1
24,1,1
645,1,1
781,1,1
153,0,0
302,1,1
407,1,1
240,1,1
582,1,1
644,0,0
877,0,0
951,1,1
545,1,1
643,0,0
411,0,0
966,1,1
244,0,0
64,1,1
429,0,0
920,0,0
836,1,1
863,0,0
118,1,1
144,0,0
89,1,1
284,1,1
18,1,1
355,0,0
552,1,1
513,1,1
335,1,1
350,0,0
107,1,1
469,0,0
416,1,1
109,0,0
218,1,1
386,0,0
178,1,1
931,1,1
321,0,0
946,0,0
427,0,0
367,0,0
428,1,1
516,0,0
317,0,0
133,0,0
219,1,1
110,1,1
326,1,1
676,1,1
341,1,1
815,0,0
278,0,1
316,0,0
417,0,0
206,0,0
91,1,1
480,0,0
483,1,1
210,0,0
709,1,1
752,0,0
243,0,0
445,0,0
418,0,0
825,0,0
390,0,0
696,1,1
503,1,1
895,0,0
489,0,0
985,1,1
270,1,1
604,1,1
435,1,1
936,1,1
737,1,1
784,1,1
682,1,1
216,1,1
866,0,0
882,0,0
528,1,1
319,1,1
102,0,0
900,1,1
96,1,1
331,0,0
318,0,0
612,0,1
819,0,0
192,1,1
209,1,1
818,0,0
134,1,1
583,1,1
751,0,0
803,1,1
651,0,0
238,1,1
172,0,0
794,1,1
95,0,0
755,0,0
164,1,1
654,0,0
165,1,1
869,0,0
887,1,1
308,0,0
83,1,1
879,0,0
510,1,1
122,0,0
467,1,1
889,1,1
947,1,1
252,0,0
72,1,1
90,1,1
222,1,1
366,0,0
73,1,1
965,1,1
120,0,0
36,1,1
601,1,1
162,0,0
556,1,1
687,0,0
926,0,0
823,0,0
158,0,0
541,0,0
860,1,0
11,0,0
399,0,0
320,1,1
254,1,1
2,0,0
536,0,0
201,0,1
873,0,0
591,1,1
276,0,0
346,0,0
715,1,1
973,0,0
166,1,1
32,1,1
650,0,0
475,0,0
323,0,0
806,1,1
239,0,0
304,1,1
523,1,1
88,1,1
180,1,1
10,1,1
633,1,1
568,0,0
928,0,0
914,1,1
557,0,0
994,1,1
811,0,0
425,1,1
280,1,1
394,1,1
718,0,0
722,1,1
508,1,1
868,0,0
706,1,1
245,0,1
50,0,0
258,0,0
426,1,1
586,0,0
224,0,0
894,0,0
853,0,0
108,1,1
229,0,0
859,0,0
827,1,1
334,0,0
234,1,1
547,0,0
479,1,1
373,1,1
402,1,1
647,1,1
123,1,1
169,0,0
45,1,1
230,0,0
656,0,0
511,0,0
812,0,0
993,0,0
423,1,1
999,1,1
495,0,0
505,0,0
293,0,0
878,0,0
797,0,0
76,1,1
721,1,1
