,valores reais,valores preditos,porcentagem de acerto %
6056,1728,1429.2496,79.09739774297337
5556,822,832.71533,98.71320586771087
5990,658,788.79675,83.41819328694086
7674,2716,1955.5724,61.11483179608251
3319,1083,686.8012,42.3124498613692
5761,636,570.7298,88.56372964259778
5972,1537,1649.1606,93.19892547137941
8758,712,752.23615,94.65112846731307
6079,425,1097.8175,38.713173920957566
7177,594,561.35004,94.18367128370836
7061,24,-181.9005,-13.194026590485336
6627,211,323.92545,65.13844555725252
1127,242,268.70828,90.06049153932757
5632,960,800.4306,80.06455570674811
5503,1308,1143.0311,85.56742086550942
5198,933,1034.95,90.14928682720966
6870,655,400.32794,36.38414123674545
1210,259,290.2998,89.21811031833336
3382,1183,1457.8363,81.1476567697389
7238,0,-160.04729,-0.0
2227,630,1168.5154,53.91456632232532
6137,1358,1338.0098,98.50597246084656
4617,1307,1065.6039,77.34654290596623
1777,146,104.43023,60.19373783184378
2067,103,65.82,43.51260942333391
4640,2495,1822.5176,63.10145756910353
6234,2797,2468.7566,86.70409997916342
1807,292,267.00662,90.63941655495262
5673,995,946.7937,94.90846857467909
8612,349,378.7447,92.14650641148054
5324,908,1232.7212,73.6581804815233
360,217,217.04636,99.97864225781846
5285,301,145.32867,7.116731378605806
7258,1071,1088.0576,98.43228732393861
80,937,617.56555,48.27521591303744
3684,871,775.3463,87.66310165395157
2333,17,-33.40603,-50.889018052594494
1087,209,289.1018,72.29287233746086
758,298,310.11496,96.09339719442735
1437,182,198.12889,91.85939470487097
4890,3365,2611.027,71.12351302277085
3803,956,1049.4027,91.09944075097593
2887,264,564.00775,46.80786732351424
1175,232,213.833,91.50411392118274
5834,501,410.3261,77.90199386176826
3785,2392,2088.1914,85.45111368427747
3123,149,191.9627,77.61924278174706
2142,165,149.55565,89.6731742867436
8469,682,929.41956,73.37913172191828
2614,565,558.15436,98.77352169828517
6875,972,1164.5815,83.46345568230274
4949,338,407.39053,82.96707268573587
1057,150,128.27036,83.05949590820056
5976,842,1035.1699,81.33930306580856
5564,1888,1998.7931,94.45700051050093
7932,1076,940.44293,85.58582735432658
8158,1215,974.1078,75.27047675212606
5303,40,0.44220456,8845.587310299426
4838,1158,1277.252,90.66339629912241
4629,1647,1401.4277,82.47699402534525
2399,345,277.5102,75.68024207303408
921,387,296.30148,69.38978641613059
7448,589,1476.5396,39.890567082226475
748,62,5.1575446,1002.1224178092862
1746,150,575.746,26.05315666601859
7533,1445,1294.0194,88.33243228430221
7256,848,1497.6848,56.620724989432745
8289,574,804.28516,71.36772269629961
7366,1393,1338.6073,95.93662008243578
3720,796,586.05,64.17540882515993
7121,1591,1866.1411,85.25614642306083
3105,682,434.69305,43.107684051597204
594,237,274.99265,86.18412313273204
1680,178,214.9643,82.80444920818574
831,281,315.4511,89.07877967266542
3045,447,452.49683,98.78522326479543
315,80,-6.9578204,-1149.785352634566
6724,185,320.07538,57.79888503589261
5871,605,643.7268,93.98396862751048
5948,1524,1514.5109,99.37345211803168
3977,1951,2074.6074,94.04188857266858
4956,1039,1125.5796,92.30799930764836
7736,2113,1429.2429,52.1594915358755
2022,63,173.24347,36.36500716419446
6307,2162,1880.2839,85.01736577506904
6952,142,925.5245,15.342652066010135
511,283,237.6024,80.89345985755654
3662,376,211.10655,21.890890539909435
6242,698,624.16595,88.17076694632047
7938,1054,1368.4023,77.0241299873541
8167,0,230.77264,0.0
3393,647,708.1421,91.36584440881902
8330,330,411.39362,80.21514855555554
4512,978,942.0748,96.18659051397238
6435,426,192.22078,21.62016057147116
6006,614,585.68134,95.16483404254966
8063,806,772.36896,95.64572835908953
14,447,398.53857,87.84021700377478
5306,84,-60.39732,-139.07901921296903
8524,97,181.96281,53.3075949372396
866,176,90.797264,6.161560322054186
7518,441,320.75015,62.50980819746951
6266,611,533.8099,85.53977210685505
2110,443,376.91452,82.4667195919919
221,13,-156.72943,-8.294549341765793
6868,240,275.12027,87.23457569881603
6152,1708,1178.2843,55.04347317095406
95,248,195.90973,73.41108516614041
7109,106,-39.623272,-267.5195530414307
8396,1146,1161.2102,98.69014197329572
2483,643,798.3192,80.54422201429976
3080,332,854.9481,38.83276566003711
7116,915,827.5767,89.43623272985054
333,316,306.5063,96.90260402696325
6300,808,782.7593,96.77541699129992
5185,846,924.62537,91.4965164179802
1928,646,528.44885,77.7554351956421
2900,972,1145.4922,84.85435436459491
2114,145,75.56894,8.12222386898216
7314,2857,1908.6523,50.31323229945869
2002,259,235.62733,90.08066468795997
8193,740,569.227,69.99913684168766
6874,915,1118.4008,81.81324935693198
3909,25,184.771,13.530262069548717
8228,12,236.01439,5.084435762119378
239,148,106.01643,60.39900153902772
8660,943,865.2059,91.00859911228736
7445,146,95.55966,47.21586791935232
4507,2163,2278.3054,94.93898320595537
7741,1190,1262.4966,94.25768092658048
1056,149,113.94396,69.23396619038286
318,108,39.35893,74.39771259253632
6542,837,1091.2925,76.6980452060366
1606,183,133.2192,62.632405617311775
6631,1287,817.14325,42.500075627003895
3246,102,-16.806864,-606.8949049989236
1044,174,148.68768,82.97618446540966
879,373,318.76794,82.98697951670152
346,221,32.157295,487.24685468600717
2585,603,888.06995,67.90005703038693
4165,1167,1441.6041,80.95148862101502
5037,1223,1133.3838,92.09303928622204
2245,429,480.72794,89.2396651120556
6431,1357,1402.8766,96.729820189317
3194,257,341.4438,75.26861230753555
841,170,173.77261,97.82899419600466
5816,1665,1269.326,68.82802883812278
4581,225,1315.6694,17.101560183351882
3078,101,195.5329,51.653712014348805
2358,195,181.88356,92.78855119929065
6392,578,1173.9342,49.23614952018167
5647,1213,1201.3275,99.02836776738786
4730,764,506.12695,49.04973045146005
1400,72,513.97925,14.008347666486642
1084,38,17.30964,19.53083980065756
1147,360,586.4535,61.385942004822006
7374,0,-90.28561,-0.0
3787,1664,2295.3901,72.49312321166809
5253,2235,2000.5938,88.283165935113
8555,644,675.01385,95.4054491249863
4836,1252,1177.6976,93.69087903758191
8490,1904,1066.9279,21.543697776945862
3916,83,-177.02719,-46.885452712173624
6050,484,535.99725,90.29897017449426
