,valores reais,valores preditos,porcentagem de acerto %
6056,1728,887.2256280501543,5.2355629314263865
5556,822,1111.7207218673834,73.9394331536132
5990,658,1251.3922214730162,52.58143599657883
7674,2716,1140.6919553182915,38.10109182738509
3319,1083,529.7113928726674,4.450954722118411
5761,636,744.417846236365,85.43588835430197
5972,1537,1272.1657650106831,79.1824114220608
8758,712,873.1738797326287,81.54160546099007
6079,425,871.2891422786647,48.77829636307715
7177,594,767.3528294007916,77.40898022932177
7061,24,561.6460510261892,4.273153876208932
6627,211,902.1193724886381,23.38936580177004
1127,242,522.6967377196381,46.29835668303002
5632,960,1330.2493963732034,72.16691867084077
5503,1308,720.26987477823,18.401401224404793
5198,933,1019.4864691780854,91.5166633601512
6870,655,856.9599735163299,76.43297472953894
1210,259,221.2385661286243,82.93180319681612
3382,1183,1114.1617112168956,93.82151728155164
7238,0,174.67447501618767,0.0
2227,630,1038.3939115765568,60.670617669887264
6137,1358,1303.0084075449947,95.77964408083788
4617,1307,865.047832899673,48.91008909658942
1777,146,-122.38185880006756,-119.29872730444211
2067,103,118.87964314277326,86.64225200970533
4640,2495,662.8545353502357,176.40234273749138
6234,2797,1344.7009935202395,8.001631104461694
1807,292,118.21316669103533,47.011401668291285
5673,995,958.2616541174831,96.16614671737528
8612,349,620.1229184242256,56.279164925371994
5324,908,908.569043146832,99.93736930053647
360,217,-174.95970577769288,-124.02855791019923
5285,301,717.3124225342804,41.96218977172603
7258,1071,1005.7777519804339,93.5152425184252
80,937,76.77789611744356,1020.4033288001469
3684,871,795.4326987731358,90.49984978698787
2333,17,111.78967300847773,15.207129194045304
1087,209,2.654777698251337,7672.598904897582
758,298,425.86280005306423,69.97558837326669
1437,182,336.3542094397329,54.10962458390469
4890,3365,1276.199685758537,63.67347034723167
3803,956,959.570404575423,99.62791635106724
2887,264,443.68939364240265,59.5010842681478
1175,232,543.571991921543,42.68063907779228
5834,501,843.9425466711446,59.364230654817604
3785,2392,1262.1552889664986,10.482908013746709
3123,149,521.2231836178972,28.58660256931898
2142,165,217.7696328381719,75.76813986852527
8469,682,920.9218218848883,74.05623189644075
2614,565,910.0908271272583,62.081715710007465
6875,972,1078.3074630914502,90.14126612954414
4949,338,532.0234754792796,63.53103116277129
1057,150,-262.7818683436202,-57.08156386340028
5976,842,760.499575495395,89.2833044053292
5564,1888,1332.4775608106693,58.30905858922267
7932,1076,883.1818751700398,78.16778964210098
8158,1215,839.6308304284299,55.29354616718467
5303,40,723.326708043539,5.530004568501608
4838,1158,1047.5937938604138,89.46097172523942
4629,1647,844.2865789751451,4.924057658331435
2399,345,650.0295909348245,53.07450688573216
921,387,264.46313510957486,53.66580493736697
7448,589,732.1078428031218,80.45262809162307
748,62,-57.78944985973237,-107.28601872917558
1746,150,287.8834389671925,52.104421337378206
7533,1445,1023.3267206551722,58.79387581369352
7256,848,789.9457019852714,92.6508495623398
8289,574,532.5581399294813,92.21834069121424
7366,1393,1052.762991593032,67.68151890558727
3720,796,510.80550834394813,44.167694553517265
7121,1591,1219.792209908118,69.56794878040387
3105,682,86.97124648828924,584.1672133465764
594,237,375.6359917490451,63.0929956675544
1680,178,0.03723163266238316,477888.08604797395
831,281,404.7467702469276,69.4261253347538
3045,447,660.2043895899021,67.70630535759723
