,Amostra existente,Predição,porcentagem de acerto %
2400,376,180.8222638777837,7.938995971278928
1355,93,118.99406192174482,78.155160432426
1847,92,142.06483363501232,64.75916498544811
6297,993,1391.616224829449,71.3558797520989
290,120,101.49788210876987,81.7709320560971
2385,381,235.28584274081075,38.06930516439658
6078,355,428.5146122293115,82.84431612568405
4747,2475,2513.6945056463583,98.46065201799816
5845,533,560.8576202297772,95.03303169557289
8245,0,0.0,
6494,126,405.9282757239625,31.03996630322987
6723,259,336.23321598823895,77.02986727196503
902,331,301.5735620629814,90.24236815199566
4373,306,458.40727918451756,66.75286669626144
1696,319,316.25096021931637,99.13074104857193
5532,828,923.0900542945627,89.6987239920777
1854,30,53.4446720179233,56.13281711213261
2708,724,732.8581468451254,98.79128766143097
6804,1095,1090.1398062342262,99.55416784728163
495,316,278.0798021785993,86.36355552459503
7588,226,217.04742236035042,95.875289583128
85,391,309.3425219749894,73.60289251420382
2938,579,610.9418953170258,94.77169669294807
2500,9,105.57154509666543,8.525024419941234
3781,1665,1057.2788223491652,42.52025437334112
4194,2825,2401.8464032287675,82.38215415430423
8693,140,636.9803908408635,21.97869856169185
7170,1885,1397.235089311853,65.09070560714488
3360,553,286.07751456781864,6.695747886573713
1434,438,287.79293115538275,47.807241740931175
3207,1108,1463.6153829803045,75.70294852625979
1606,183,186.71394780667697,98.01088892913218
3657,609,362.1569118989802,31.84084577961221
7960,385,1419.4021134692293,27.12409657183072
7930,898,1046.8223577943797,85.7834181046779
3558,230,415.170481119815,55.398928984458266
8378,313,439.5885947601081,71.2029392324908
6084,759,642.3890014076621,81.84729216459046
6972,1083,1071.134133012713,98.89221465159433
4428,1134,1039.4216608062575,90.90086893894629
4308,1184,1020.3277262712692,83.9588526789464
6994,0,0.0,
824,646,281.34600584703855,29.610510394526642
2070,54,64.42146451106045,83.82299348492582
2503,15,201.9806633288545,7.426453479647095
4985,113,211.68559453625642,53.38105327740945
2188,47,79.9639161253267,58.77651105323223
6052,214,309.0179311348422,69.25164478776462
3988,124,121.29225153350103,97.76758331033942
1824,126,77.33129829772533,37.06467785540045
1642,155,215.90468839868555,71.79093754267156
185,500,339.2516669977874,52.61678905670314
1932,361,343.5228913407106,94.91238892666533
6362,492,582.4774104996818,84.46679495741041
2103,521,464.0141315704501,87.71893687015913
7279,0,0.0,
89,515,285.28267633708356,19.477296479269
8119,259,895.9656031672606,28.907359733948333
3220,39,85.95544796954904,45.372342208973556
2471,572,872.9490498707086,65.52501547309298
8539,1113,1008.7644195371242,89.66700465994779
7639,1271,614.3372375973141,6.889623844211002
