,Amostra existente,Predição
858,0,1
474,0,1
530,1,1
531,0,1
812,0,1
177,1,1
658,1,1
121,1,1
993,1,1
304,0,1
669,1,1
718,1,1
911,0,1
452,1,1
655,1,1
279,1,1
561,0,1
942,1,1
480,1,1
684,1,1
449,0,1
455,1,1
841,1,1
988,1,1
43,1,1
222,1,1
554,1,1
83,1,1
693,1,1
375,0,0
323,1,1
686,1,1
868,1,1
654,1,1
66,1,1
409,0,1
405,0,1
220,1,1
113,0,1
698,1,1
486,1,1
144,1,1
623,1,1
359,0,1
219,1,1
369,1,1
64,1,1
33,1,1
840,0,1
928,1,1
478,1,1
701,0,1
248,1,1
421,1,1
366,1,1
497,1,1
439,0,1
263,1,1
624,0,1
558,0,1
72,1,1
902,1,1
344,1,1
776,1,1
283,1,1
927,0,1
595,0,1
904,1,1
809,0,1
57,1,1
26,1,1
906,1,1
567,1,1
273,0,1
555,0,1
945,1,1
268,0,1
331,0,1
442,1,1
495,0,1
85,1,1
459,1,1
523,1,1
581,1,1
165,1,1
867,1,1
668,0,1
510,0,1
407,1,1
229,1,1
435,0,1
529,1,1
672,1,1
109,1,1
3,1,1
188,0,1
574,1,1
544,1,1
290,1,1
628,1,1
