,y real,y preditivo
80,0,1
157,1,1
65,1,1
489,1,1
804,1,1
696,1,1
122,1,1
528,0,0
92,0,1
320,0,1
244,1,1
352,1,1
480,1,1
56,0,1
572,1,1
212,0,0
977,1,1
985,1,0
810,1,1
596,0,0
732,1,1
866,1,1
301,0,1
588,0,1
87,0,1
694,1,1
310,1,1
495,0,1
138,1,1
449,0,1
154,1,1
60,1,1
971,1,1
152,1,1
724,0,0
586,1,1
70,1,1
386,1,1
319,1,0
282,1,1
299,1,1
366,1,1
447,1,1
835,0,1
46,1,1
862,0,0
165,1,1
700,0,1
924,0,1
638,1,1
680,1,1
374,0,1
532,1,1
23,1,1
184,0,1
673,1,1
859,1,1
280,1,1
385,1,1
940,1,1
699,1,1
409,0,1
991,1,1
606,1,1
759,0,1
511,1,1
50,1,1
983,0,0
175,0,1
100,1,1
55,1,1
383,1,1
634,0,0
238,1,1
590,1,1
444,0,0
192,0,1
818,1,1
198,1,1
736,0,0
248,1,1
966,0,1
683,1,1
715,1,1
681,1,1
112,1,0
546,1,1
506,1,1
128,1,1
24,1,1
491,0,1
381,0,1
27,1,1
133,1,1
440,1,1
993,1,0
975,1,1
563,0,1
217,1,1
942,1,1
524,1,1
413,1,1
746,1,0
878,0,1
467,1,1
730,1,1
340,1,1
705,1,1
134,1,1
779,1,1
269,1,1
195,0,1
153,1,1
71,1,1
815,1,0
390,1,1
959,1,1
207,1,1
676,1,1
844,1,1
61,1,1
869,1,0
879,1,1
836,1,1
550,1,1
305,1,1
529,1,1
82,1,1
584,1,1
735,1,1
631,0,1
978,0,1
99,1,1
785,1,1
929,1,1
995,1,1
471,0,1
325,1,1
371,1,1
481,1,1
486,1,1
220,1,1
36,1,1
389,1,1
26,1,1
170,0,0
712,1,1
918,0,1
188,0,1
139,1,1
884,0,1
829,1,1
337,0,1
914,0,0
48,1,1
709,1,1
788,0,1
987,1,1
969,1,1
31,1,1
347,1,1
91,1,1
814,0,0
190,0,1
250,1,1
186,0,1
6,1,1
654,1,1
941,1,1
474,0,1
892,1,1
194,0,0
907,1,1
768,1,1
931,0,1
59,0,0
802,1,0
738,1,1
169,0,1
10,0,0
302,0,1
468,1,1
214,1,1
509,1,1
636,1,1
743,1,1
834,0,1
235,0,1
376,1,1
461,1,1
543,0,1
624,0,1
33,1,1
245,1,1
989,1,1
430,1,1
162,1,1
297,1,1
615,1,1
131,0,0
231,1,1
947,1,1
714,0,0
968,1,1
806,1,1
252,0,0
261,1,1
871,1,1
853,0,1
875,1,1
391,1,1
219,1,1
690,1,1
674,0,1
850,0,0
518,1,1
620,1,1
477,1,1
341,1,0
125,1,1
883,1,1
211,1,1
727,0,0
687,1,1
777,1,1
659,1,1
952,0,0
464,1,1
580,0,1
523,1,1
633,0,1
838,1,1
141,1,1
955,1,1
798,1,1
721,0,1
4,0,1
333,0,1
653,0,1
876,1,1
812,0,0
782,1,1
365,1,1
577,1,1
348,1,1
752,1,0
554,1,1
321,0,1
962,1,1
514,1,1
718,1,1
475,0,0
651,0,1
151,1,1
394,1,1
257,0,1
922,0,1
548,0,1
619,1,1
897,1,1
29,0,0
809,0,0
77,1,1
262,1,1
180,0,1
544,1,1
657,1,1
998,0,0
868,1,1
442,1,1
164,1,1
378,0,1
635,1,1
561,0,0
25,1,1
556,0,0
296,1,1
69,1,1
119,1,1
377,1,1
395,1,0
368,0,0
630,1,0
260,1,1
200,1,1
370,1,1
549,1,1
540,0,1
67,1,1
263,1,1
418,1,1
963,0,1
47,1,0
870,1,1
356,1,1
19,1,1
208,1,0
627,0,1
357,0,1
964,1,1
