,Amostra existente,Predição
894,0,0
1752,0,0
725,0,0
1010,0,0
1769,0,0
460,0,0
1220,0,0
1638,0,0
1559,0,0
278,1,1
1386,0,0
599,0,0
1351,0,0
1025,1,1
764,0,0
1152,0,0
1451,0,0
179,1,1
900,0,0
844,0,0
1674,0,0
374,0,0
1621,1,1
1736,0,0
405,1,1
279,0,0
164,1,1
1762,0,0
390,0,0
822,0,0
1886,0,0
1245,0,0
1196,0,0
226,0,0
976,0,0
22,0,0
909,0,0
941,0,0
1390,0,0
589,0,0
1855,0,0
990,0,0
1598,0,0
468,0,0
15,0,0
1783,0,0
1654,0,0
1848,1,1
914,0,0
485,0,0
1970,0,0
1455,0,0
1564,0,0
1912,0,0
1481,0,0
427,1,1
1440,1,1
1574,1,1
1844,0,0
1747,0,0
1129,0,0
1195,0,0
1847,0,0
808,0,0
1968,0,0
1656,0,0
1735,0,0
142,1,1
605,0,0
1034,0,0
805,0,0
1102,1,1
1947,0,0
1492,0,0
462,0,0
1977,0,0
72,1,1
1850,0,0
1767,0,0
84,1,1
241,0,0
543,0,0
160,0,0
1017,0,0
343,0,0
1518,0,0
1127,0,0
1286,0,0
155,0,0
1839,0,0
47,0,0
711,0,0
1228,0,0
1751,0,0
247,0,0
1014,0,0
249,0,0
1225,1,0
1096,0,0
1266,0,0
196,0,0
449,0,0
1480,1,1
982,1,1
406,0,0
940,0,0
1149,1,1
23,0,0
1733,0,0
854,0,0
557,0,0
619,0,0
668,0,0
1830,0,0
897,0,0
1201,0,0
1632,0,0
607,0,0
952,0,0
1424,0,0
1548,1,1
784,1,1
260,0,0
106,1,1
1777,0,0
495,1,1
1727,0,0
1515,0,0
1026,0,0
352,0,0
1329,0,0
1705,0,0
1277,0,0
321,0,0
1414,1,1
290,0,0
868,0,0
1298,0,0
666,0,0
577,0,0
548,0,0
1681,0,0
1172,0,0
1328,0,0
223,0,0
1238,0,0
565,0,0
467,0,0
1210,0,0
1484,0,0
450,0,0
930,0,0
1603,0,0
667,0,0
146,0,0
825,0,0
1199,0,0
202,0,0
1399,1,0
104,0,0
700,0,0
16,0,0
109,0,0
765,0,0
1363,0,0
927,0,0
583,1,1
40,0,0
398,0,0
1365,1,0
1051,0,0
478,0,0
501,0,0
302,0,0
1132,0,0
850,0,0
1605,0,0
325,1,1
1253,0,0
474,0,0
759,0,0
116,0,0
1260,0,0
330,0,0
1995,0,0
458,1,0
908,0,0
75,0,0
1273,0,0
1353,0,0
874,0,0
1057,0,0
1207,0,0
113,0,0
1325,0,0
665,0,0
242,0,0
1027,0,0
1697,0,0
1320,0,0
