,Amostra existente,Predição
54,0,0
599,0,0
619,0,0
1041,0,0
995,0,0
314,0,0
439,0,0
1585,1,1
36,0,0
358,0,0
1760,0,0
1353,0,0
433,1,1
407,0,0
158,0,0
1746,0,0
1008,0,0
1450,0,0
708,0,0
427,1,1
1697,0,0
1498,0,0
178,0,0
374,0,0
1099,0,0
817,0,0
1525,0,0
1890,0,0
7,1,0
1207,0,0
1410,0,0
1916,0,0
123,0,0
1435,1,1
1722,0,0
243,0,0
1079,0,0
4,1,1
1455,0,0
334,0,0
387,0,0
593,0,0
1026,0,0
1364,0,0
1964,1,1
1299,0,0
212,0,0
1656,0,0
1004,1,1
1998,0,0
288,0,0
608,1,1
1543,0,0
590,0,0
1937,0,0
1738,0,0
901,0,0
88,0,0
1690,0,0
1170,0,0
210,0,0
1862,0,0
1824,1,1
434,0,0
493,0,0
1816,0,0
1343,0,0
228,1,1
1785,0,0
465,0,0
597,0,0
515,0,0
1882,0,0
1848,1,1
1100,0,0
1237,0,0
1021,0,0
600,0,0
1446,0,0
633,0,0
814,0,0
1815,0,0
1471,0,0
1,0,0
1721,0,0
1818,0,0
1586,0,0
1037,0,0
1567,0,0
1718,0,0
332,0,0
924,0,0
458,1,0
1980,0,0
1701,0,0
1708,0,0
557,0,0
489,0,0
1491,0,0
1102,1,1
1311,0,0
448,0,0
186,0,0
1671,0,0
1809,0,0
1767,0,0
628,0,0
614,0,0
596,0,0
663,0,0
539,0,0
258,1,1
870,1,1
460,0,0
107,0,0
1485,0,0
1130,0,0
1262,0,0
558,0,0
993,0,0
1180,0,0
890,0,0
120,0,0
1768,0,0
1923,0,0
1399,1,0
132,1,1
142,1,1
754,0,0
580,0,0
1272,0,0
1484,0,0
711,0,0
739,0,0
429,1,1
1497,0,0
1360,1,1
293,0,0
1128,0,0
771,0,0
58,0,0
868,0,0
364,0,0
1111,0,0
147,0,0
1583,1,1
1405,0,0
1363,0,0
679,1,1
1565,0,0
440,1,1
1985,0,0
1783,0,0
512,0,0
904,0,0
444,0,0
1050,0,0
1504,0,0
1494,0,0
164,1,1
276,0,0
572,0,0
1678,0,0
1680,0,0
729,0,0
1032,0,0
1894,0,0
938,0,0
13,0,0
1827,0,0
163,0,0
56,1,1
824,0,0
875,0,0
1973,0,0
1087,0,0
202,0,0
737,0,0
1940,1,1
776,0,0
1197,0,0
1947,0,0
1220,0,0
1625,0,0
1751,0,0
1728,0,0
735,1,1
227,0,0
859,0,0
636,0,0
1390,0,0
399,0,0
546,0,0
1560,0,0
1550,0,0
1192,0,0
1394,0,0
1598,0,0
1968,0,0
89,0,0
